family,source_context,target_context,transfer_id,metric,n_labels,D_cross,D_within_source,D_within_target,D_adj,ci_lower_90,ci_upper_90,stable_inversion,same_context_floor,same_context_floor_ci_lower_90,same_context_floor_ci_upper_90,minimum_strict_support,measurement_resampling,target_outcomes_used_for_fit_or_tuning
bilinear_ridge,frangieh_melanoma_control,frangieh_melanoma_ifng,frangieh_melanoma_control->frangieh_melanoma_ifng,delta_cosine,235.0,0.3241747863247863,0.22957143723101167,0.23368006304176514,0.0933313329696308,0.0567480450991089,0.1343889798145117,0.2061764705882353,0.2308434533551554,0.2029950900163666,0.2639229859974541,8,full_size_nonparametric,0.0
bilinear_ridge,frangieh_melanoma_control,frangieh_melanoma_ifng,frangieh_melanoma_control->frangieh_melanoma_ifng,systema_centroid_accuracy,235.0,0.1101963629750863,0.07983269685397341,0.0709995756804267,0.0351813602473176,0.0171099290780141,0.057823240589198,0.0497944803288314,0.0750150027277686,0.0643548827059465,0.0870721949445353,8,full_size_nonparametric,0.0
bilinear_ridge,frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng->frangieh_melanoma_coculture,absolute_effect_rank_agreement,237.0,0.2389617660730887,0.17823547641183338,0.17865503349305104,0.0615886791103482,0.0373650146606593,0.0873100371880139,0.1202334283677833,0.1773730869627404,0.1568681613387685,0.1991364514052778,8,full_size_nonparametric,0.0
bilinear_ridge,frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng->frangieh_melanoma_coculture,delta_cosine,237.0,0.3433214081384537,0.1888137977067391,0.23323440368065984,0.1324787062862046,0.0954355288564686,0.1703720589286991,0.253697703901958,0.2108427018522491,0.1859043123793177,0.2381110097976113,8,full_size_nonparametric,0.0
bilinear_ridge,frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng->frangieh_melanoma_coculture,systema_centroid_accuracy,237.0,0.0961434599156118,0.0671541633888769,0.07590645784166485,0.0249938407351784,0.0160811342344275,0.0345153489952084,0.0381253128971386,0.0711496191804333,0.0607836301222913,0.0836734785096188,8,full_size_nonparametric,0.0
bilinear_ridge,frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_ifng->frangieh_melanoma_control,absolute_effect_rank_agreement,235.0,0.2494909074377159,0.19683457598351212,0.19200945626477536,0.0556384433533369,0.0317853246044735,0.0823436079287142,0.1172085791375131,0.193852464084379,0.1713206946717585,0.2183310601927623,8,full_size_nonparametric,0.0
bilinear_ridge,frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_ifng->frangieh_melanoma_control,delta_cosine,235.0,0.3186633933442444,0.20465296720615866,0.23604049221070494,0.0995269958174213,0.0699163484269867,0.1320085470085469,0.2050423384203224,0.219136397526823,0.193319239861793,0.2461733951627568,8,full_size_nonparametric,0.0
bilinear_ridge,frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_ifng->frangieh_melanoma_control,systema_centroid_accuracy,235.0,0.1127473540643753,0.0692671394799054,0.08267321331151115,0.0372557101291143,0.0194485360974722,0.0582389979996362,0.0517640594953102,0.0754916439352609,0.0639739043462447,0.0879819058010547,8,full_size_nonparametric,0.0
official_gears,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,absolute_effect_rank_agreement,,0.4486432229535171,0.34705745235157,0.3254709995886466,0.1147463320992732,0.11143350397264,0.1180591602259065,,,,,8,full_size_nonparametric,0.0
official_gears,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,delta_cosine,,0.4069374023035788,0.2760770601947072,0.2543617167146579,0.1438440970793912,0.140137687278148,0.1475505068806343,,,,,8,full_size_nonparametric,0.0
