n_items,depth,tie_probability,noise_scale,inversion_fraction,law,trials,d_adj_mean,d_adj_sd,kendall_mean,kendall_sd,spearman_mean,spearman_sd,top10_jaccard_mean,top10_jaccard_sd,stable_inversion_mean,stable_inversion_sd,floor_adjusted_kendall_mean,floor_adjusted_kendall_sd,floor_adjusted_spearman_mean,floor_adjusted_spearman_sd,floor_adjusted_jaccard_mean,floor_adjusted_jaccard_sd,d_adj_mae_to_latent_truth,d_adj_bias_to_latent_truth,kendall_mae_to_latent_truth,kendall_bias_to_latent_truth,spearman_mae_to_latent_truth,spearman_bias_to_latent_truth,top10_jaccard_mae_to_latent_truth,top10_jaccard_bias_to_latent_truth,stable_coverage_mean
100,20,0.1,1.0,0.0,gaussian_heteroscedastic,500,0.014135260687684942,0.013717518184612414,0.010089696969696969,0.0031011525799177616,0.0030787638763876382,0.0010212397685882427,0.10336130536130535,0.11038811731181516,0.0,0.0,-0.00017353535353535355,0.0023951260110299352,-0.001020888088808881,0.0010050461609819022,-0.01878821178821179,0.10226143934765473,0.014269555147433948,0.014135260687684942,0.010089696969696969,0.010089696969696969,0.0030787638763876382,0.0030787638763876382,0.10336130536130535,0.10336130536130535,0.7721822222222222
100,20,0.1,1.0,0.05,gaussian_heteroscedastic,500,0.04673757881848792,0.012519344144152638,0.03388727272727273,0.007710263694823996,0.010397335733573357,0.0025959275840519856,0.21764568764568765,0.13643033419311798,0.0009405423460924358,0.0009870396961235309,0.023563636363636366,0.006319563614498006,0.006317833783378337,0.0023083285083088925,0.08394871794871796,0.12231147197393608,0.009709167942046727,-0.0028919161310070295,0.015743838383838384,-0.015742222222222223,0.0024893789378937895,0.0024614221422142213,0.0647865467865468,0.005392607392607393,0.7462573737373738
100,20,0.1,1.0,0.1,gaussian_heteroscedastic,500,0.10014463345576984,0.01605226347030796,0.07730747474747474,0.01362111913033836,0.031058556855685565,0.007377734231371329,0.35453962703962705,0.1368353618207415,0.014374958136218283,0.006444072768739079,0.06694787878787879,0.012318733909557457,0.02698671167116712,0.00706059130530907,0.2077610722610723,0.13930947452208697,0.009315030864197528,0.0003797849709213458,0.022457373737373734,-0.022457373737373734,0.00268989198919892,0.0022051995199519957,0.05027772227772229,0.0009763569763569763,0.7130929292929293
100,20,0.1,1.0,0.2,gaussian_heteroscedastic,500,0.2082151522803796,0.023318802883206733,0.1706460606060606,0.023832940724373176,0.1052983498349835,0.021685997950632346,0.5908253707077237,0.13344447624532796,0.0969127391540849,0.0239126839290443,0.16030949494949495,0.022663457457554416,0.10113097359735974,0.02146492619648485,0.43927458815694115,0.14001637224424832,0.011686726099377619,0.009419596724824007,0.028149494949494952,-0.028149494949494952,0.0034487668766876693,0.001253789378937894,0.04079614176673,-0.007861716714657891,0.6753822222222222
100,20,0.1,1.0,0.4,gaussian_heteroscedastic,500,0.40741233981226405,0.03259477628450106,0.36734787878787883,0.03396000949905633,0.3494328742874287,0.046567372532868835,0.8689137795469066,0.07920161265682646,0.35538291951980255,0.04593267442813477,0.3570440404040404,0.033420914070727926,0.34532423792379235,0.046533431572866844,0.72537698301011,0.10919139467213558,0.012776751606978888,0.009660824660748916,0.030403636363636362,-0.030403636363636362,0.004563543354335433,-0.0007443954395439547,0.018778465772273822,-0.0051960784313725495,0.6578921212121212
100,40,0.1,1.0,0.0,gaussian_heteroscedastic,500,0.014402167635955523,0.015569278347704652,0.005102626262626263,0.0020742495498926755,0.0029133003300330033,0.0013179830753474713,0.07545454545454544,0.0977746957659624,5.409791723018664e-07,1.2096662036785443e-05,-0.00018464646464646465,0.0016380474462962893,-0.00016757425742574257,0.001239850318576046,0.0014941724941724926,0.07748128127309335,0.014562341087644126,0.014402167635955523,0.005102626262626263,0.005102626262626263,0.0029133003300330033,0.0029133003300330033,0.07545454545454544,0.07545454545454544,0.7924981818181818
100,40,0.1,1.0,0.05,gaussian_heteroscedastic,500,0.06129131874298543,0.014360524475426142,0.024535757575757575,0.007240209483819223,0.010892925292529252,0.0029536183131886585,0.1871388611388611,0.12733339597741872,0.001587073478837162,0.0013418734969998629,0.019146464646464648,0.006248423671708897,0.007871524152415241,0.0026983934057548866,0.1003160173160173,0.11458217779798482,0.014002672686460571,0.011831116722783398,0.024924444444444447,-0.024924444444444447,0.002987968796879688,0.0029676447644764476,0.05907359307359309,-0.019294705294705294,0.7608622222222221
100,40,0.1,1.0,0.1,gaussian_heteroscedastic,500,0.12043663554739313,0.017081965538856776,0.06378626262626262,0.012901041855014275,0.031183474347434743,0.007242203613473346,0.33659140859140857,0.14168108463518678,0.01697094839688289,0.006743605942063426,0.058343030303030306,0.011949283010468104,0.028161324632463246,0.007008093965288041,0.24240259740259745,0.13828796362637558,0.021275892766044288,0.021084312315069898,0.0355660606060606,-0.0355660606060606,0.0029874407440744076,0.0025337653765376542,0.053358641358641365,-0.021983349983349987,0.728899797979798
100,40,0.1,1.0,0.2,gaussian_heteroscedastic,500,0.2333666192225283,0.023549925476247412,0.15685616161616162,0.02372061965488817,0.10655393039303931,0.02071160434421854,0.5758219492925375,0.13234748927891396,0.10519528616981288,0.02386321329908873,0.1514280808080808,0.022917338922616944,0.10348081308130813,0.020570754210447365,0.46552557899616726,0.13843801250508025,0.03295328588919499,0.03295328588919499,0.04355717171717171,-0.04355717171717171,0.003452214221422142,0.0009146744674467447,0.03610873199727689,-0.015507065689728226,0.6973107070707071
100,40,0.1,1.0,0.4,gaussian_heteroscedastic,500,0.43434114095500465,0.030453082372416854,0.3514913131313131,0.03324769572137488,0.3492304650465047,0.043367841946406124,0.8673303602142612,0.07963241514841884,0.3603241141345637,0.042135088484766506,0.34598141414141415,0.032776213834457134,0.3461520507050705,0.043355105281189424,0.7548804767643776,0.10883826722230616,0.03603421002958882,0.036030433884297525,0.046819393939393945,-0.046819393939393945,0.005311923192319231,-0.0012402580258025807,0.016944444444444443,-0.009939628482972135,0.6787244444444446
100,80,0.1,1.0,0.0,gaussian_heteroscedastic,500,0.012542169676563623,0.014717987699038763,0.00270989898989899,0.0014016603876120918,0.002559129912991299,0.001197111801485053,0.04466666666666666,0.08274578809865703,0.0,0.0,-0.00010828282828282829,0.0011025246286979857,0.00023666366636663672,0.0011627538062587636,0.003393939393939393,0.0635153429687863,0.012681038159371499,0.012542169676563623,0.00270989898989899,0.00270989898989899,0.002559129912991299,0.002559129912991299,0.04466666666666666,0.04466666666666666,0.809659797979798
