analysis,metric,method,environment_key,predictor,scenario,heldout_environment_id,heldout_predictor,n,aurc,optimal_aurc,excess_aurc,brier,mean_continuous_risk,risk_at_50,risk_at_80,ftr_at_50,ftr_at_80,log_loss,auroc,auprc
selective_risk_under_alternative_fidelity,centered_delta_cosine,best_scalar_uq,frangieh_melanoma_coculture,mean_matching,leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,,50.0,0.7741373355553255,0.6950484297675931,0.07908890578773242,0.29133676980694023,0.7670373753234924,0.7858558308138758,0.7738961360213934,0.52,0.55,0.7899531848689293,0.5,0.46
selective_risk_under_alternative_fidelity,centered_delta_cosine,u_only_rf,frangieh_melanoma_coculture,mean_matching,leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,,50.0,0.7741373355553255,0.6950484297675931,0.07908890578773242,0.25434090394300995,0.7670373753234924,0.7858558308138758,0.7738961360213934,0.52,0.55,0.7022550990408698,0.5,0.46
selective_risk_under_alternative_fidelity,centered_delta_cosine,u_p_rf,frangieh_melanoma_coculture,mean_matching,leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,,50.0,0.7741373355553255,0.6950484297675931,0.07908890578773242,0.2685053555808627,0.7670373753234924,0.7858558308138758,0.7738961360213934,0.52,0.55,0.7335604484454815,0.5,0.46
selective_risk_under_alternative_fidelity,centered_delta_cosine,u_ps_rf,frangieh_melanoma_coculture,mean_matching,leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,,50.0,0.7741373355553255,0.6950484297675931,0.07908890578773242,0.2582987996417455,0.7670373753234924,0.7858558308138758,0.7738961360213934,0.52,0.55,0.7107350579814101,0.5,0.46
selective_risk_under_alternative_fidelity,centered_delta_cosine,u_psn_rf,frangieh_melanoma_coculture,mean_matching,leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,,50.0,0.7741373355553255,0.6950484297675931,0.07908890578773242,0.2627366177187631,0.7670373753234924,0.7858558308138758,0.7738961360213934,0.52,0.55,0.7204895844448451,0.5,0.46
selective_risk_under_alternative_fidelity,centered_delta_cosine,ptl_rf,frangieh_melanoma_coculture,mean_matching,leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,,50.0,0.7741373355553255,0.6950484297675931,0.07908890578773242,0.25243739943076093,0.7670373753234924,0.7858558308138758,0.7738961360213934,0.52,0.55,0.6982521982991149,0.5,0.46
selective_risk_under_alternative_fidelity,absolute_effect_rank_agreement,raw_normalized_uq,frangieh_melanoma_coculture,mean_matching,leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,,50.0,0.6736055909130094,0.6557271612640099,0.01787842964899955,0.54,0.6780723440086491,0.6723166315060347,0.6762741144496127,0.52,0.55,6.216984351109382,0.5,0.46
selective_risk_under_alternative_fidelity,absolute_effect_rank_agreement,best_scalar_uq,frangieh_melanoma_coculture,mean_matching,leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,,50.0,0.6736055909130094,0.6557271612640099,0.01787842964899955,0.29133676980694023,0.6780723440086491,0.6723166315060347,0.6762741144496127,0.52,0.55,0.7899531848689293,0.5,0.46
selective_risk_under_alternative_fidelity,absolute_effect_rank_agreement,u_only_rf,frangieh_melanoma_coculture,mean_matching,leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,,50.0,0.6736055909130094,0.6557271612640099,0.01787842964899955,0.25434090394300995,0.6780723440086491,0.6723166315060347,0.6762741144496127,0.52,0.55,0.7022550990408698,0.5,0.46
selective_risk_under_alternative_fidelity,absolute_effect_rank_agreement,u_p_rf,frangieh_melanoma_coculture,mean_matching,leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,,50.0,0.6736055909130094,0.6557271612640099,0.01787842964899955,0.2685053555808627,0.6780723440086491,0.6723166315060347,0.6762741144496127,0.52,0.55,0.7335604484454815,0.5,0.46
