comparison,left_environment_id,right_environment_id,perturbation_label,risk_left,risk_right,confidence_left,confidence_right,absolute_risk_change,response_program_shift,response_program_is_descriptive,risk_and_confidence_outcomes_used_for_evaluation_only,matching
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,CYP27A1,0.540919283532652,0.6158009249486593,0.978145220226608,0.9335350132509511,0.0748816414160074,0.8222355496310373,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,DAG1,0.706616838926321,0.7895921638872948,0.9507938354759449,0.8420195528987108,0.08297532496097382,0.9880259625146269,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,DDR1,0.743604758555382,0.7174666949321006,0.9273597930519951,0.926252168339239,0.026138063623281416,0.8424861372009715,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,DDX17,0.639873306306849,0.7922400563119233,0.8529917190675067,0.8297102542199021,0.15236675000507427,0.8028364929694751,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,DDX39A,0.6883945182530076,0.9255977404456491,0.9005408327855577,0.8270563278333875,0.23720322219264156,0.8702392653276823,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,DLL3,0.5924723150379051,0.5821641572862479,0.8609879643384467,0.9147779178983475,0.010308157751657165,0.8259098677190817,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,DNMT1,0.9431738635989715,0.8699171429492585,0.8656146074489145,0.7434656672844686,0.073256720649713,0.9636204762360201,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,E2F1,0.839468646610809,0.8569777206771896,0.9656775379897157,0.8271594944211378,0.01750907406638058,0.9327197065070033,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,EEA1,0.637685323028276,0.7251579998274319,0.912654020814868,0.8008168988496248,0.08747267679915594,0.868770193687234,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,EEF1G,1.1112183236412432,0.9211734436750506,0.9729181720067204,0.9539097820552472,0.19004487996619257,0.963431557874899,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,EIF2S3,0.7583214577711943,0.8348862308160703,0.8762108689926467,0.7998621569103127,0.07656477304487597,0.8821409817908887,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,EIF3K,0.625060585354116,0.8133996469963343,0.8590773404594233,0.7888002497855352,0.18833906164221825,0.532121193122726,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,EIF4A1,0.8879834504668439,0.9867870748189208,0.7642458163692075,0.8182597663488718,0.0988036243520769,0.8611390473228682,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,EMP1,0.47333086298249516,0.6137302292443102,0.9741973819594335,0.9363629371528931,0.14039936626181504,0.7996119809208826,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,ENPP1,0.5012221512413217,0.7782981154053916,0.9635675410348696,0.9543186141092419,0.2770759641640699,0.9762399108460695,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,EVA1A,0.6829554345864057,0.8503383871010572,0.8271143539931821,0.8965871119206948,0.16738295251465152,0.9146100279525025,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,FARSA,0.8390807863180203,1.0109825774463506,0.8820343502065636,0.7460462634272776,0.17190179112833026,0.9413248829999032,1,1,exact_perturbation_label_intersection
