dataset_id,perturbation_label,split_half_cosine,left_signature_groups,right_signature_groups,left_cells,right_cells,gene_count,split_seed,reproducibility_unit,raw_cell_expression_split
NormanWeissman2019_filtered,MAP2K3_ELMSAN1,0.9165318379756878,8,8,289,292,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,MAP2K3_IKZF3,0.8769984294509805,8,8,128,132,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,MAP2K3_MAP2K6,0.7969456582696975,8,8,284,287,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,MAP2K3_SLC38A2,0.7720359802579556,8,8,167,171,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,MAP2K6,0.7444486844511123,8,8,437,441,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,MAP2K6_ELMSAN1,0.8159791009230116,8,8,224,227,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,MAP2K6_IKZF3,0.8951902608545141,8,8,147,153,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,MAP2K6_SPI1,0.7197601386873376,8,8,150,152,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,MAP4K3,0.30515822177563223,8,8,179,184,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,MAP4K5,0.37662880529287696,8,8,181,185,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,MAP7D1,0.5936074407147625,8,8,373,378,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,MAPK1,0.9235910517101472,8,8,380,385,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,MAPK1_IKZF3,0.8920168629073689,8,8,150,152,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,MAPK1_PRTG,0.8386779837582615,8,8,248,252,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,MAPK1_TGFBR2,0.8459602325393808,8,8,246,250,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,MEIS1,0.6198930416902263,8,8,387,389,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,MIDN,0.8296489914815228,8,8,147,150,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,NCL,0.26925168343302636,8,8,117,120,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,NIT1,0.8385836102988058,8,8,93,99,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,OSR2,0.9051955764628862,8,8,499,504,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,PLK4,0.004962132174494239,1,1,10,11,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,POU3F2,0.7129130673365459,8,8,177,181,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,POU3F2_CBFA2T3,0.7982029018244419,8,8,107,108,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,POU3F2_FOXL2,0.8958779254505438,8,8,152,154,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,PRDM1,0.8844745061305727,8,8,146,150,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,PRDM1_CBFA2T3,0.4372840866066684,1,1,11,11,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,PRTG,0.9008492813276785,8,8,341,343,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,PTPN1,0.9029583381008529,8,8,207,212,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,PTPN12,0.7461587600618391,8,8,220,224,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,PTPN12_OSR2,0.5529795914807046,8,8,167,171,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,PTPN12_PTPN9,0.8948850145818512,8,8,179,184,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,PTPN12_SNAI1,0.7419378653646815,8,8,138,145,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,PTPN12_UBASH3A,0.8940409422852573,8,8,153,158,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,PTPN12_ZBTB25,0.8870035806117255,8,8,149,154,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,PTPN13,0.6277169652459963,8,8,133,137,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,PTPN9,0.717587084452883,8,8,219,226,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,RHOXF2,0.8609275724111032,8,8,162,164,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,RHOXF2_SET,0.9167408222497324,8,8,158,163,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,RHOXF2_ZBTB25,0.8801642886597421,8,8,130,133,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,RREB1,0.7144650232593166,8,8,162,169,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,RUNX1T1,0.3808642149304733,8,8,388,391,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,S1PR2,0.8287006163176576,8,8,268,272,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,SAMD1,0.8435950444520877,8,8,246,251,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,SAMD1_PTPN12,0.9024998564508523,8,8,173,176,33694,20260907,raw_cells_within_reference_perturbation_strata,1
