aggregation_level,scenario,heldout_environment_id,heldout_predictor,environment_id,environment_key,predictor,method,n,aurc,optimal_aurc,excess_aurc,brier,mean_continuous_risk,risk_at_50,risk_at_80,ftr_at_50,ftr_at_80,log_loss,auroc,auprc
environment_predictor_test,in_domain,,,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,identity_free_shared,raw_normalized_uq,150.0,0.8043128301753706,0.7384547946655021,0.06585803550986846,0.2533026184332526,0.8490473596482163,0.7832572740623132,0.8217435782108072,0.45333333333333337,0.5833333333333333,0.7320322981220827,0.7309000000000001,0.5396283285469499
environment_predictor_test,in_domain,,,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,identity_free_shared,raw_normalized_uq,150.0,0.7550266979170055,0.6598725530921195,0.09515414482488604,0.23764325434189373,0.7888860225243175,0.7673728238925495,0.7703862400213919,0.43999999999999995,0.44999999999999996,0.673119721235299,0.660291763031489,0.6701629572411097
environment_predictor_test,in_domain,,,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,identity_free_shared,raw_normalized_uq,150.0,0.6480733634426938,0.5572860846641202,0.09078727877857362,0.20726979996981218,0.7211698056434744,0.6374714375396493,0.6948385390844948,0.18666666666666665,0.30833333333333335,0.6542417770168922,0.7181663837011883,0.7819775844351753
environment_predictor_test,in_domain,,,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,identity_free_shared,raw_normalized_uq,144.0,0.38505874552574615,0.15396036889134213,0.23109837663440402,0.47526163019372114,0.3819881561267653,0.39046917419327043,0.3809503931284061,0.13888888888888884,0.13793103448275867,1.7228013995642424,0.5027100271002711,0.8453978335000517
environment_predictor_test,in_domain,,,env__v~replogleweissman2022%5Fk562%5Fessential__v~k562__v~rna__v~essential%5Fgene%5Fscreen,replogle_k562_essential,identity_free_shared,raw_normalized_uq,279.0,0.7538730574208709,0.5452544987238894,0.20861855869698143,0.27926515478750014,0.7693404845219682,0.7762835267496576,0.7775403451915842,0.5571428571428572,0.5491071428571428,0.7751775237490229,0.4943410852713178,0.5151449873154945
environment_predictor_test,in_domain,,,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,identity_free_shared,raw_normalized_uq,99.0,0.8399819921106988,0.6756011572799809,0.16438083483071786,0.2338024387075987,0.8694694798346718,0.8157813108615699,0.8511753702935018,0.62,0.6875,0.7721946413399249,0.5993460764587526,0.352778795193277
environment_predictor_test,in_domain,,,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,identity_free_shared,raw_normalized_uq,60.0,0.5334172839774977,0.4082545912481034,0.12516269272939423,0.23790831410657257,0.5429724515573561,0.5437293770829217,0.533050306083625,0.033333333333333326,0.0625,0.7238416147026108,0.5870535714285714,0.9200944464824553
environment_predictor_test,in_domain,,,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,identity_free_shared,raw_normalized_uq,114.0,0.5260323268071024,0.47955939323123536,0.04647293357586707,0.05876352540675049,0.5379503317239948,0.5174548998755443,0.5224749306603306,0.0,0.0,0.24277859522666795,0.9734513274336283,0.9997657306984276
environment_predictor_test,in_domain,,,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,identity_free_shared,u_only_rf,150.0,0.8089050914960959,0.7384547946655021,0.07045029683059378,0.19384201006911753,0.8490473596482163,0.7841736973221323,0.8250137695889872,0.43999999999999995,0.5916666666666667,0.563554899910067,0.7465,0.54790201176606
environment_predictor_test,in_domain,,,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,identity_free_shared,u_only_rf,150.0,0.7325100655130501,0.6598725530921195,0.07263751242093064,0.19875771792568359,0.7888860225243175,0.7230336120718625,0.7658588188364692,0.30666666666666664,0.44166666666666665,0.5843070051334743,0.7726383205835261,0.7310236431829624
environment_predictor_test,in_domain,,,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,identity_free_shared,u_only_rf,150.0,0.6504867104685277,0.5572860846641202,0.09320062580440747,0.22197382933592488,0.7211698056434744,0.6391700926462578,0.7048734369623073,0.18666666666666665,0.35,0.6486179408828605,0.6976985474438785,0.7766413934171026
environment_predictor_test,in_domain,,,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,identity_free_shared,u_only_rf,144.0,0.3280219683703946,0.15396036889134213,0.17406159947905248,0.16979204947605997,0.3819881561267653,0.31557464892652864,0.3635385442469115,0.09722222222222221,0.1293103448275862,0.5272438391113093,0.5878823073945025,0.8694796983321512
environment_predictor_test,in_domain,,,env__v~replogleweissman2022%5Fk562%5Fessential__v~k562__v~rna__v~essential%5Fgene%5Fscreen,replogle_k562_essential,identity_free_shared,u_only_rf,279.0,0.7067898051491142,0.5452544987238894,0.16153530642522473,0.23886270089587258,0.7693404845219682,0.7305189386126955,0.7489374776059828,0.47857142857142854,0.5,0.6685594509170254,0.6091472868217054,0.5995118548962733
environment_predictor_test,in_domain,,,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,identity_free_shared,u_only_rf,99.0,0.8779470218617677,0.6756011572799809,0.20234586458178672,0.21692717699138625,0.8694694798346718,0.8723032274402932,0.874974350104001,0.7,0.725,0.6238534566354185,0.5352112676056338,0.30945656870021043
