source_environment_id,left_target_environment_id,right_target_environment_id,metric,cell_budget,cell_budget_label,cell_budget_order,n_split_seeds,n_perturbations_mean,cross_disagreement,cross_disagreement_ci_low,cross_disagreement_ci_high,within_disagreement_left,within_disagreement_left_ci_low,within_disagreement_left_ci_high,within_disagreement_right,within_disagreement_right_ci_low,within_disagreement_right_ci_high,measurement_floor,measurement_floor_ci_low,measurement_floor_ci_high,identifiable_divergence,identifiable_divergence_ci_low,identifiable_divergence_ci_high,stable_pair_fraction,stable_pair_fraction_ci_low,stable_pair_fraction_ci_high
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,20,20,2,30,237.0,0.39922584566974184,0.3957303362416268,0.40261721077975643,0.377453574578655,0.37228116284059215,0.38256954873775306,0.4042146415885956,0.3992427709838136,0.4094497485041359,0.3908341080836253,0.38632160480583566,0.39574104865431836,0.008391737586116478,0.0020992306133638503,0.014697415313833466,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,40,40,3,30,225.0,0.35740476190476195,0.35327000661375657,0.3614897321428571,0.34141798941798934,0.33651302910052894,0.3467330687830687,0.36250396825396813,0.3546044973544974,0.3699648809523809,0.3519609788359788,0.346950066137566,0.35688429232804225,0.005443783068783073,0.0010232804232804267,0.009545337301587303,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,80,80,4,30,209.0,0.33161613605692547,0.32738611443381177,0.33631049871181445,0.29617531591215795,0.288824990798675,0.3035105355171144,0.31965556373451115,0.3110561587535272,0.328073319224635,0.3079154398233345,0.3045531606551343,0.31153800147221206,0.023700696233590966,0.020915608514292718,0.0263176105692553,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,160,160,5,30,186.0,0.2968797830088153,0.2938988908263102,0.2998282960379734,0.2652659110723627,0.2587398043204494,0.27158761987794244,0.24991378475249443,0.24657318608931506,0.25301220575414124,0.25758984791242856,0.2536495204882302,0.26157158771674904,0.03928993509638668,0.034739731667151,0.04420309018696113,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,1000000000,full,6,30,243.0,0.1339668615984405,0.13254638654248788,0.1353893220706086,0.10006497725795968,0.09810807883907297,0.10197819652010683,0.10149447693307341,0.0993787452169518,0.10373294346978555,0.10077972709551655,0.09928867951772434,0.10233575193126851,0.033187134502923966,0.03078071980362428,0.03547776333838711,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,10,10,1,30,243.0,0.27520094321441124,0.27162902878391093,0.27853436157308203,0.29507873346257185,0.2908840367762926,0.29908132956954514,0.2519946944189368,0.24881015542631701,0.25500935278713055,0.2735367139407543,0.2719782278452312,0.275143154326656,0.0016642292736568885,-0.0016243523903456498,0.004855485267943181,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20,20,2,30,234.0,0.28027890881968137,0.27707537018695816,0.28348061333039876,0.2904821295379235,0.2854637271804653,0.29510943594634587,0.26101634814081165,0.25778914933421365,0.264067410097453,0.2757492388393675,0.27220253597936,0.2793649658241933,0.004529669980313761,0.0026818837655747576,0.006505172224056346,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,40,40,3,30,223.0,0.28027983140090756,0.2782128765536837,0.28258810379886606,0.2728288826943535,0.2678173016065392,0.27794859882303824,0.26910004174578167,0.26621251296139187,0.27186778706958076,0.27096446222006754,0.2691154944181849,0.27271916535369456,0.009315369180840034,0.0078946323004619,0.010787614969229321,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,80,80,4,30,207.0,0.29011381579975926,0.286738270562669,0.2935656160592843,0.2741538076700592,0.26707151009177177,0.2818588089989525,0.25899035379828955,0.2546952925910291,0.2632367931460375,0.2665720807341744,0.2621059440614104,0.2704512374341415,0.02354173506558479,0.019650501070931636,0.02742288510545159,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,160,160,5,30,139.0,0.2952750842804017,0.2928710944288047,0.2978435512459598,0.26802557953637085,0.2626311125013032,0.27376012233691305,0.25685538525701174,0.25220154311333537,0.26141313036527297,0.2624404823966913,0.2581670315921176,0.26695104785736623,0.03283460188371041,0.028511017273137998,0.03746932888471831,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,1000000000,full,6,30,243.0,0.291282217890405,0.2882636632734098,0.29419247707746726,0.24226409645512953,0.23754169374052406,0.24661793372319682,0.22765143310952274,0.22469821673525373,0.23059706880369646,0.23495776478232613,0.2323945924481986,0.23745956970615836,0.056324453108078834,0.0535302505234279,0.05915872500180492,0.0,0.0,0.0
