split_seed,comparison,left_environment_id,right_environment_id,predictor,method,n_shared_perturbations,n_rows,difficulty_left_mean_risk,difficulty_right_mean_risk,difficulty_mean_risk_gap,ranking_left_spearman,ranking_right_spearman,ranking_spearman_gap,centered_confidence_mapping_gap,additive_null_mse,interaction_mse,interaction_improvement,status,matched_perturbation_control,outcomes_used_for_evaluation_only
20260907,tian_modality,tian_neuron_crispra,tian_neuron_crispri,mean_matching,raw_normalized_uq,1,2,,,,,,,,,,,insufficient_shared_perturbations_for_controlled_fit,shared perturbation_label,1
20260907,tian_modality,tian_neuron_crispra,tian_neuron_crispri,mean_matching,u_only_rf,1,2,,,,,,,,,,,insufficient_shared_perturbations_for_controlled_fit,shared perturbation_label,1
20260907,tian_modality,tian_neuron_crispra,tian_neuron_crispri,slim_string,ptl_rf,1,2,,,,,,,,,,,insufficient_shared_perturbations_for_controlled_fit,shared perturbation_label,1
20260907,tian_modality,tian_neuron_crispra,tian_neuron_crispri,slim_string,raw_normalized_uq,1,2,,,,,,,,,,,insufficient_shared_perturbations_for_controlled_fit,shared perturbation_label,1
20260907,tian_modality,tian_neuron_crispra,tian_neuron_crispri,slim_string,u_only_rf,1,2,,,,,,,,,,,insufficient_shared_perturbations_for_controlled_fit,shared perturbation_label,1
20260907,tian_modality,tian_neuron_crispra,tian_neuron_crispri,strong_linear,ptl_rf,1,2,,,,,,,,,,,insufficient_shared_perturbations_for_controlled_fit,shared perturbation_label,1
20260907,tian_modality,tian_neuron_crispra,tian_neuron_crispri,strong_linear,raw_normalized_uq,1,2,,,,,,,,,,,insufficient_shared_perturbations_for_controlled_fit,shared perturbation_label,1
20260907,tian_modality,tian_neuron_crispra,tian_neuron_crispri,strong_linear,u_only_rf,1,2,,,,,,,,,,,insufficient_shared_perturbations_for_controlled_fit,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,mean_matching,ptl_rf,14,28,0.6256765544569642,0.791649501121941,-0.16597294666497675,,,,,0.017386252654043356,0.01738625265404336,-6.869195192818874e-18,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,mean_matching,ptl_rf,11,22,0.6950412852560273,0.71257498100894,-0.017533695752912748,,,,,0.04553653118553795,0.04553653118553794,4.336808689942018e-18,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,ptl_rf,10,20,0.7956131555048681,0.6575234713363346,0.1380896841685335,,,,,0.043232848042527236,0.04323284804252724,-1.1170670508389713e-17,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,mean_matching,raw_normalized_uq,14,28,0.6256765544569642,0.791649501121941,-0.16597294666497675,,,,,0.017386252654043356,0.01738625265404336,-6.869195192818874e-18,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,mean_matching,raw_normalized_uq,11,22,0.6950412852560273,0.71257498100894,-0.017533695752912748,,,,,0.04553653118553795,0.04553653118553794,4.336808689942018e-18,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,raw_normalized_uq,10,20,0.7956131555048681,0.6575234713363346,0.1380896841685335,,,,,0.04323284804252723,0.04323284804252724,-1.706330931584843e-17,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,mean_matching,u_only_rf,14,28,0.6256765544569642,0.791649501121941,-0.16597294666497675,,,,,0.017386252654043356,0.01738625265404336,-6.869195192818874e-18,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,mean_matching,u_only_rf,11,22,0.6950412852560273,0.71257498100894,-0.017533695752912748,,,,,0.04553653118553795,0.04553653118553794,4.336808689942018e-18,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,u_only_rf,10,20,0.7956131555048681,0.6575234713363346,0.1380896841685335,,,,,0.043232848042527236,0.04323284804252724,-1.1170670508389713e-17,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,slim_string,ptl_rf,14,28,0.8254402462193026,0.9259964277779366,-0.100556181558634,0.6131868131868132,0.35824175824175825,0.254945054945055,0.06383906064165457,0.011790495968319834,0.012958428935461504,-0.0011679329671416684,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,slim_string,ptl_rf,11,22,0.8972946516706983,0.852180009958456,0.04511464171224233,0.43636363636363645,0.22727272727272727,0.2090909090909092,0.024849155121246223,0.010889450624326566,0.011813726853118921,-0.0009242762287923535,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,slim_string,ptl_rf,10,20,0.9028153939138928,0.8156878304512627,0.08712756346263006,0.41337576970244394,0.49848254581765294,-0.085106776115209,0.06757192183842428,0.009476957207020504,0.01094231349745558,-0.0014653562904350774,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,slim_string,raw_normalized_uq,14,28,0.8254402462193026,0.9259964277779366,-0.100556181558634,0.4945054945054946,0.2926294400025709,0.20187605450292367,0.09284404911991677,0.016886493135040776,0.01835521568169987,-0.0014687225466590956,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,slim_string,raw_normalized_uq,11,22,0.8972946516706983,0.852180009958456,0.04511464171224233,0.6545454545454547,-0.09090909090909091,0.7454545454545456,0.07922878460692029,0.015914553326094698,0.015564141791375325,0.00035041153471936955,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,slim_string,raw_normalized_uq,10,20,0.9028153939138928,0.8156878304512627,0.08712756346263006,0.40121765882884264,0.45122790065613705,-0.05001024182729441,0.07825167615534392,0.009222011291645519,0.010220747836094215,-0.000998736544448696,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,slim_string,u_only_rf,14,28,0.8254402462193026,0.9259964277779366,-0.100556181558634,0.11208791208791209,0.432967032967033,-0.3208791208791209,0.07533274440142908,0.016003390725798993,0.014861841610187703,0.001141549115611291,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,slim_string,u_only_rf,11,22,0.8972946516706983,0.852180009958456,0.04511464171224233,-0.3272727272727273,0.018181818181818184,-0.3454545454545455,0.07144334317575712,0.012981920795948022,0.014091902092761071,-0.0011099812968130502,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,slim_string,u_only_rf,10,20,0.9028153939138928,0.8156878304512627,0.08712756346263006,0.5957474328064633,0.40121765882884264,0.1945297739776206,0.12265961282570974,0.007275255738868884,0.007481113193264803,-0.00020585745439591843,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,strong_linear,ptl_rf,14,28,0.6988199914780189,0.8570541098328768,-0.1582341183548579,0.745054945054945,0.5340659340659341,0.2109890109890109,0.13931112910944887,0.01487225017955456,0.01661776200013176,-0.0017455118205771994,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,strong_linear,ptl_rf,11,22,0.7456854286969459,0.8067039995345272,-0.06101857083758133,-0.10000000000000002,0.30000000000000004,-0.4000000000000001,0.12867508477554127,0.029151903504617882,0.026154025916481527,0.0029978775881363525,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,strong_linear,ptl_rf,10,20,0.8375569746464049,0.7512270758924391,0.0863298987539658,-0.24924127290882647,0.23708316203522517,-0.48632443494405164,0.0997755296441677,0.020595829884309472,0.02175144171579359,-0.001155611831484114,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,strong_linear,raw_normalized_uq,14,28,0.6988199914780189,0.8570541098328768,-0.1582341183548579,0.6703296703296703,0.5956043956043956,0.07472527472527468,0.07946977967785612,0.009625605189033704,0.011241691145071139,-0.001616085956037434,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,strong_linear,raw_normalized_uq,11,22,0.7456854286969459,0.8067039995345272,-0.06101857083758133,-0.14545454545454548,0.4090909090909091,-0.5545454545454546,0.0985784662401726,0.028110121498911213,0.027249105210488258,0.0008610162884229611,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,strong_linear,raw_normalized_uq,10,20,0.8375569746464049,0.7512270758924391,0.0863298987539658,-0.43161293601284584,0.11550205329921227,-0.5471149893120582,0.1318651665593793,0.018573893364393475,0.018182931057078,0.0003909623073154765,executed,shared perturbation_label,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,strong_linear,u_only_rf,14,28,0.6988199914780189,0.8570541098328768,-0.1582341183548579,0.7582417582417583,0.27472527472527475,0.4835164835164836,0.15345954874176906,0.014854227514075172,0.016921995196545678,-0.0020677676824705036,executed,shared perturbation_label,1
