aggregation_level,comparator,cell_budget_label,cell_budget_order,n_surfaces,n_evaluable_surfaces,cross_estimate,same_context_null,cross_minus_null_margin,margin,bootstrap_ci_low,bootstrap_ci_high,margin_ci_low,margin_ci_high,cross_bootstrap_ci_low,cross_bootstrap_ci_high,same_context_null_bootstrap_ci_low,same_context_null_bootstrap_ci_high,fraction_surfaces_lower_ci_gt0,fraction_surfaces_with_lower_ci_gt_zero,surface_positive_margin_fraction,negative_cross_surface_count,negative_same_context_null_surface_count,negative_margin_surface_count,canonical_d_adj_negative_reference_count,normalized_recovery,normalized_signal_fraction,full_depth_margin,evaluable_coverage,same_context_evaluable_coverage,bootstrap_draws,bootstrap_blocks,bootstrap_ci_level,bootstrap_unit,surface_interval_unit
macro_surface_mean,kendall_distance,full,6,18,18,0.2564153095348637,0.027591393179603473,0.2288239163552602,0.2288239163552602,0.21567921675111035,0.24196861595941008,0.21567921675111035,0.24196861595941008,0.24142009570544723,0.27141052336428007,0.025332496607729627,0.029850289751477316,1.0,1.0,1.0,0,0,0,0,1.0,0.8923956871777502,0.2288239163552602,1.0,1.0,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,spearman_distance,10,1,18,18,0.3018684452733185,0.03355657405226842,0.26831187122105016,0.26831187122105016,0.25621338714151815,0.2804103553005821,0.25621338714151815,0.2804103553005821,0.28826218498167283,0.3154747055649643,0.031146382910503118,0.03596676519403372,1.0,1.0,1.0,0,0,0,0,1.5403754068837916,0.8888370925225871,0.17418602635564673,1.0,1.0,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,spearman_distance,20,2,18,18,0.2524503643986874,0.026046188829738602,0.22640417556894876,0.22640417556894876,0.20447543184306202,0.2483329192948355,0.20447543184306202,0.2483329192948355,0.22899145393755985,0.2759092748598149,0.02451602209449782,0.02757635556497939,1.0,1.0,1.0,0,0,0,0,1.2997838018687269,0.8968264954111745,0.17418602635564673,1.0,1.0,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,spearman_distance,40,3,18,18,0.2277568874429613,0.019156583684193207,0.20860030375876804,0.20860030375876804,0.18451139053305532,0.23268921698448075,0.18451139053305532,0.23268921698448075,0.2030156115577855,0.25249816332813707,0.018423048703505755,0.019890118664880666,1.0,1.0,1.0,0,0,0,0,1.1975719759107168,0.9158902112719169,0.17418602635564673,1.0,1.0,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,spearman_distance,80,4,18,18,0.206788708771961,0.010105560300637256,0.19668314847132376,0.19668314847132376,0.17710228511278905,0.21626401182985844,0.17710228511278905,0.21626401182985844,0.1863057339847657,0.22727168355915636,0.009203448871976614,0.011007671729297897,1.0,1.0,1.0,0,0,0,0,1.129155722685488,0.951130986016353,0.17418602635564673,1.0,1.0,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,spearman_distance,160,5,18,18,0.19948200357742463,0.005840384851707455,0.19364161872571717,0.19364161872571717,0.17578290778609892,0.2115003296653355,0.17578290778609892,0.2115003296653355,0.18135055845131395,0.2176134487035353,0.005281483445917509,0.006399286257497402,1.0,1.0,1.0,0,0,0,0,1.1116943349424984,0.9707222468845885,0.17418602635564673,1.0,1.0,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,spearman_distance,full,6,18,18,0.17685861897074648,0.0026725926150997057,0.17418602635564673,0.17418602635564673,0.1571231344856924,0.19124891822560117,0.1571231344856924,0.19124891822560117,0.1594545978457202,0.1942626400957728,0.0022731876039961117,0.0030719976262032996,1.0,1.0,1.0,0,0,0,0,1.0,0.9848885362180635,0.17418602635564673,1.0,1.0,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,stable_pair_inversion_fraction,10,1,18,18,0.20294493285387805,0.0,0.20294493285387805,0.20294493285387805,0.16175365996652755,0.24413620574122852,0.16175365996652755,0.24413620574122852,0.16175365996652755,0.24413620574122852,0.0,0.0,1.0,1.0,1.0,0,0,0,0,1.3770547945522094,1.0,0.14737607657789076,0.21366213575517662,0.29288076709197314,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,stable_pair_inversion_fraction,20,2,18,18,0.15252735125950864,0.0,0.15252735125950864,0.15252735125950864,0.10366418733983396,0.20139051517918335,0.10366418733983396,0.20139051517918335,0.10366418733983396,0.20139051517918335,0.0,0.0,1.0,1.0,1.0,0,0,0,0,1.0349532624373763,1.0,0.14737607657789076,0.23489835376054316,0.3338562838116351,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,stable_pair_inversion_fraction,40,3,18,18,0.10507429777023439,0.0,0.10507429777023439,0.10507429777023439,0.08018719112762712,0.12996140441284162,0.08018719112762712,0.12996140441284162,0.08018719112762712,0.12996140441284162,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0.7129671260769439,1.0,0.14737607657789076,0.2717247992541363,0.38447834911505496,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,stable_pair_inversion_fraction,80,4,18,18,0.11166975215644591,0.0,0.11166975215644591,0.11166975215644591,0.09683295160287432,0.12650655271001748,0.09683295160287432,0.12650655271001748,0.09683295160287432,0.12650655271001748,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0.7577196703117995,1.0,0.14737607657789076,0.35261630883307454,0.48357919352955026,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,stable_pair_inversion_fraction,160,5,18,18,0.133693761157144,0.0,0.133693761157144,0.133693761157144,0.11940375881040181,0.1479837635038862,0.11940375881040181,0.1479837635038862,0.11940375881040181,0.1479837635038862,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0.9071605396313055,1.0,0.14737607657789076,0.4290473952415087,0.5647748477992557,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,stable_pair_inversion_fraction,full,6,18,18,0.14737607657789076,0.0,0.14737607657789076,0.14737607657789076,0.13448927121396445,0.16026288194181712,0.13448927121396445,0.16026288194181712,0.13448927121396445,0.16026288194181712,0.0,0.0,1.0,1.0,1.0,0,0,0,0,1.0,1.0,0.14737607657789076,0.5744995858562508,0.6975849445659853,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,top10_jaccard_distance,10,1,18,18,0.843288839331619,0.4203913130790346,0.42289752625258437,0.42289752625258437,0.40462104796228954,0.4411740045428793,0.40462104796228954,0.4411740045428793,0.8101452438211921,0.8764324348420458,0.3838028264409114,0.45697979971715785,1.0,1.0,1.0,0,0,0,0,0.6963948617070963,0.5014859755380707,0.6072668675583294,1.0,1.0,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,top10_jaccard_distance,20,2,18,18,0.8370136283808467,0.3407437568405846,0.49626987154026214,0.49626987154026214,0.47964929411803797,0.5128904489624864,0.47964929411803797,0.5128904489624864,0.8062996877660087,0.867727568995685,0.3266503936479707,0.3548371200331985,1.0,1.0,1.0,0,0,0,0,0.8172187518407535,0.5929053658305025,0.6072668675583294,1.0,1.0,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,top10_jaccard_distance,40,3,18,18,0.7962703570339725,0.29041273891152747,0.505857618122445,0.505857618122445,0.48637896582381684,0.5253362704210732,0.48637896582381684,0.5253362704210732,0.7744406714713348,0.8181000425966101,0.28510228139518756,0.2957231964278673,1.0,1.0,1.0,0,0,0,0,0.8330071096359563,0.6352837496132772,0.6072668675583294,1.0,1.0,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,top10_jaccard_distance,80,4,18,18,0.8174340876781887,0.2771343786649795,0.5402997090132093,0.5402997090132093,0.5193778112181778,0.5612216068082408,0.5193778112181778,0.5612216068082408,0.7986253642222622,0.8362428111341154,0.24623952711935618,0.30802923021060274,1.0,1.0,1.0,0,0,0,0,0.8897236748410489,0.6609703671006157,0.6072668675583294,1.0,1.0,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,top10_jaccard_distance,160,5,18,18,0.8013201672856725,0.22147902986171936,0.5798411374239529,0.5798411374239529,0.5488860898829233,0.6107961849649829,0.5488860898829233,0.6107961849649829,0.7861135240227952,0.8165268105485497,0.20443888046862876,0.23851917925480992,1.0,1.0,1.0,0,0,0,0,0.954837433755198,0.7236073183931714,0.6072668675583294,1.0,1.0,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,top10_jaccard_distance,full,6,18,18,0.7382463792460453,0.13097951168771604,0.6072668675583294,0.6072668675583294,0.5941511965294327,0.620382538587226,0.5941511965294327,0.620382538587226,0.7077662224636722,0.7687265360284187,0.10704539125591757,0.1549136321195145,1.0,1.0,1.0,0,0,0,0,1.0,0.8225802179734597,0.6072668675583294,1.0,1.0,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
