comparison_id,axis,left_sample,right_sample,modality,target,risk_left_source_to_right_guides,risk_right_source_to_left_guides,confidence_left_source,confidence_right_source,source_within_guide_mse_left,source_within_guide_mse_right,response_program_shift,absolute_risk_change,left_guide_count,right_guide_count,shared_response_id_count,response_program_is_descriptive,destination_outcomes_used_for_evaluation_only,predictor
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,NDUFV2,0.1450374497954568,0.23271707625571128,-0.12018725789889555,-0.039247998915565095,0.12770800404017985,0.04002837757992534,0.867561742322979,0.08767962646025448,4,4,12178,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,OGFOD1,0.2828600749943748,0.382493196185631,-0.13413781353386517,-0.042980256740147514,0.14355040550820114,0.04391728431694492,0.5570929536248409,0.09963312119125617,4,4,11356,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,PDHA1,0.15176148384086455,0.2328895513588672,-0.12025126975931866,-0.04559661834024165,0.12778019303798385,0.046652125519981186,0.9585442166402008,0.08112806751800264,4,4,13145,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,PYGB,0.13769931984324082,0.23026343521415665,-0.1394476959273106,-0.055505241760759556,0.1496386733607546,0.057074557989838785,0.9455915055172475,0.09256411537091583,4,4,11683,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,RPL29,0.14449584917098188,0.20795939069130934,-0.11062275814090068,-0.05212736731809027,0.11697345822147935,0.05350991670115188,0.9070381312168141,0.06346354152032746,4,4,12306,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,SH3KBP1,0.14258713375009907,0.20352576628247185,-0.1083241334153525,-0.05208973505360275,0.11440890401567343,0.0534702714833007,0.954958898384983,0.06093863253237278,4,4,13435,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,SPAG7,0.14063953511143987,0.2058588240500244,-0.1081949076828698,-0.04788081185744096,0.11426490301328465,0.049045614074700115,0.8775009325909633,0.06521928893858453,4,4,13362,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,STK24,0.191188163442468,0.2672387975203949,-0.16071268823555396,-0.09376069124327988,0.1743475164821472,0.09829688240422024,0.7785420039540346,0.07605063407792692,4,4,12775,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,TMED4,0.1368674640607113,0.19639992111636947,-0.1037835705123577,-0.04862622081517201,0.1093603306435614,0.049827873587903214,0.9265209113866555,0.05953245705565818,4,4,13674,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,TMSB10,0.1383057812631134,0.20586753260300716,-0.10814649839604991,-0.04559383488023514,0.11421096354959737,0.046649212209703604,0.9664754434127337,0.06756175133989376,4,4,13556,1,1,source_response_persistence_baseline
