source_environment_id,target_environment_id,metric_from,metric_to,state_from,state_to,n_perturbation_pairs,count,fraction,state_definition,crossfit_split
frangieh_melanoma_coculture,frangieh_melanoma_control,absolute_effect_rank_agreement,delta_cosine,stable_p<q,stable_p<q,29403,8350,0.28398462741897085,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,absolute_effect_rank_agreement,delta_cosine,stable_p<q,unresolved,29403,1933,0.06574159099411625,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,absolute_effect_rank_agreement,delta_cosine,stable_p<q,stable_p>q,29403,2358,0.08019589837771655,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,absolute_effect_rank_agreement,delta_cosine,unresolved,stable_p<q,29403,2340,0.07958371594735231,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,absolute_effect_rank_agreement,delta_cosine,unresolved,unresolved,29403,889,0.03023501003298983,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,absolute_effect_rank_agreement,delta_cosine,unresolved,stable_p>q,29403,1493,0.050777131585212396,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,absolute_effect_rank_agreement,delta_cosine,stable_p>q,stable_p<q,29403,4256,0.14474713464612454,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,absolute_effect_rank_agreement,delta_cosine,stable_p>q,unresolved,29403,2166,0.07366595245383124,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,absolute_effect_rank_agreement,delta_cosine,stable_p>q,stable_p>q,29403,5618,0.191068938543686,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,absolute_effect_rank_agreement,systema_centroid_accuracy,stable_p<q,stable_p<q,29403,5349,0.18192021222324253,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,absolute_effect_rank_agreement,systema_centroid_accuracy,stable_p<q,unresolved,29403,1330,0.04523347957691392,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,absolute_effect_rank_agreement,systema_centroid_accuracy,stable_p<q,stable_p>q,29403,5962,0.2027684249906472,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,absolute_effect_rank_agreement,systema_centroid_accuracy,unresolved,stable_p<q,29403,2025,0.06887052341597796,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,absolute_effect_rank_agreement,systema_centroid_accuracy,unresolved,unresolved,29403,450,0.015304560759106214,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,absolute_effect_rank_agreement,systema_centroid_accuracy,unresolved,stable_p>q,29403,2247,0.07642077339047036,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,absolute_effect_rank_agreement,systema_centroid_accuracy,stable_p>q,stable_p<q,29403,5932,0.20174812094004013,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,absolute_effect_rank_agreement,systema_centroid_accuracy,stable_p>q,unresolved,29403,1223,0.04159439512974866,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,absolute_effect_rank_agreement,systema_centroid_accuracy,stable_p>q,stable_p>q,29403,4885,0.166139509573853,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,systema_centroid_accuracy,stable_p<q,stable_p<q,29403,7684,0.26133387749549364,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,systema_centroid_accuracy,stable_p<q,unresolved,29403,1079,0.03669693568683468,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,systema_centroid_accuracy,stable_p<q,stable_p>q,29403,5191,0.17654661089004522,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,systema_centroid_accuracy,unresolved,stable_p<q,29403,1901,0.0646532666734687,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,systema_centroid_accuracy,unresolved,unresolved,29403,352,0.011971567527123082,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,systema_centroid_accuracy,unresolved,stable_p>q,29403,2031,0.06907458422609938,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,systema_centroid_accuracy,stable_p>q,stable_p<q,29403,4072,0.13848926980240112,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,systema_centroid_accuracy,stable_p>q,unresolved,29403,767,0.026085773560521035,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,systema_centroid_accuracy,stable_p>q,stable_p>q,29403,6326,0.21514811413801313,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,absolute_effect_rank_agreement,stable_p<q,stable_p<q,29403,8243,0.2803455429718056,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,absolute_effect_rank_agreement,stable_p<q,unresolved,29403,2233,0.07594463150018706,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,absolute_effect_rank_agreement,stable_p<q,stable_p>q,29403,3478,0.11828724960038091,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,absolute_effect_rank_agreement,unresolved,stable_p<q,29403,1928,0.06557154031901506,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,absolute_effect_rank_agreement,unresolved,unresolved,29403,736,0.02503145937489372,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,absolute_effect_rank_agreement,unresolved,stable_p>q,29403,1620,0.05509641873278237,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,absolute_effect_rank_agreement,stable_p>q,stable_p<q,29403,3554,0.12087201986191885,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,absolute_effect_rank_agreement,stable_p>q,unresolved,29403,1830,0.062238547087031935,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,absolute_effect_rank_agreement,stable_p>q,stable_p>q,29403,5781,0.1966125905519845,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,delta_cosine,stable_p<q,stable_p<q,29403,9257,0.31483181988232495,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,delta_cosine,stable_p<q,unresolved,29403,1739,0.059143624800190454,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,delta_cosine,stable_p<q,stable_p>q,29403,2658,0.09039893888378737,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,delta_cosine,unresolved,stable_p<q,29403,1198,0.04074414175424276,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,delta_cosine,unresolved,unresolved,29403,305,0.01037309118117199,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,delta_cosine,unresolved,stable_p>q,29403,598,0.020338060742101146,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,delta_cosine,stable_p>q,stable_p<q,29403,5541,0.18845015814712784,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,delta_cosine,stable_p>q,unresolved,29403,2019,0.06866646260585654,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,delta_cosine,stable_p>q,stable_p>q,29403,6088,0.20705370200319695,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
