dataset,predictor,source_context,target_contexts,metric,ordering_estimand,observed_reordering,observed_reordering_ci_low,observed_reordering_ci_high,measurement_identifiable_excess,measurement_identifiable_ci_low,measurement_identifiable_ci_high,joint_identifiable_excess,joint_identifiable_ci_low,joint_identifiable_ci_high,stable_fraction_both,minimum_strict_support,rank_displacement_secondary,rank_displacement_secondary_ci_low,rank_displacement_secondary_ci_high,claim_lock_status,bootstrap_uncertainty_scope,source_artifact
Frangieh,source_frozen_strong_linear,frangieh_melanoma_ifng,frangieh_melanoma_control|frangieh_melanoma_coculture,absolute_effect_rank_agreement,pairwise_order_disagreement,0.2518598914199773,0.2264026448039323,0.2806967829500018,0.0592878746194196,0.0336543046843476,0.0868099115953193,-0.0129994451780932,-0.0457175543817175,0.0206107167748798,0.7949451597520267,8,0.1763366255823337,0.1582838120391768,0.1971506914639962,inconclusive_ci_crosses_zero,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
Frangieh,source_frozen_strong_linear,frangieh_melanoma_ifng,frangieh_melanoma_control|frangieh_melanoma_coculture,delta_cosine,pairwise_order_disagreement,0.3765748321778365,0.3391470415612047,0.4138522064487729,0.131478164777521,0.0965477238545908,0.1694939657386009,0.1033980182311727,0.0690913759583287,0.1427520083635963,0.7188290965115,8,0.2583990911925461,0.2313735739701405,0.2851523238325813,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
Frangieh,source_frozen_strong_linear,frangieh_melanoma_ifng,frangieh_melanoma_control|frangieh_melanoma_coculture,systema_centroid_accuracy,pairwise_order_disagreement,0.1292464601445288,0.1064244708558013,0.1559384285242654,0.0484046256556986,0.0277044128975459,0.0720903947030556,0.0461284252228458,0.0258510326106892,0.0697365283738674,0.9202523751879976,8,0.0891641722607387,0.0742418198158541,0.1066574043505373,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
Frangieh,source_frozen_strong_linear,frangieh_melanoma_ifng,frangieh_melanoma_control|frangieh_melanoma_ifng,absolute_effect_rank_agreement,pairwise_order_disagreement,0.2494909074377159,0.2212174940898345,0.280942444080742,0.0556384433533369,0.0317853246044735,0.0823436079287142,-0.0200217130387343,-0.0513218312420439,0.01157778687034,0.7953082378614293,8,0.1756922349518094,0.1551918530641935,0.1978227859610838,inconclusive_ci_crosses_zero,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
Frangieh,source_frozen_strong_linear,frangieh_melanoma_ifng,frangieh_melanoma_control|frangieh_melanoma_ifng,delta_cosine,pairwise_order_disagreement,0.3186633933442444,0.2867425895617385,0.3538284233496999,0.0995269958174213,0.0699163484269867,0.1320085470085469,0.066340943807965,0.0372424531733042,0.0974015730132751,0.7602473176941262,8,0.2216436715766503,0.1980896526641207,0.2460115475541007,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
Frangieh,source_frozen_strong_linear,frangieh_melanoma_ifng,frangieh_melanoma_control|frangieh_melanoma_ifng,systema_centroid_accuracy,pairwise_order_disagreement,0.1127473540643753,0.0917614566284779,0.1381523913438807,0.0372557101291143,0.0194485360974722,0.0582389979996362,0.0348971767594108,0.0169644480814693,0.0565571012911438,0.92675031823968,8,0.0766312829605382,0.0632476359338061,0.0920371885797417,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
Nadig,source_frozen_strong_linear,nadig_hepg2,nadig_hepg2|nadig_jurkat,absolute_effect_rank_agreement,pairwise_order_disagreement,0.4778705992444778,0.4646888931807573,0.4901701218124254,0.141977271107371,0.1253143860750326,0.1601896191579814,0.0828316716329716,0.0616620826062064,0.1066050304531063,,8,0.3137759131333476,0.305308755871621,0.3214395214413321,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_replication_nadig_fullsize.csv
Nadig,source_frozen_strong_linear,nadig_hepg2,nadig_hepg2|nadig_jurkat,delta_cosine,pairwise_order_disagreement,0.4656016665861941,0.44564531212997,0.4825075931584549,0.1767427487348567,0.1569090384451787,0.1957933873419002,0.1522037409382177,0.1312321724595395,0.1725223311283858,,8,0.2974956916154516,0.285123341403579,0.3091273903216832,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_replication_nadig_fullsize.csv
Nadig,source_frozen_strong_linear,nadig_hepg2,nadig_hepg2|nadig_jurkat,systema_centroid_accuracy,pairwise_order_disagreement,0.4994588314008429,0.4760643383663155,0.5205937436053075,0.1385779985790849,0.1107431035037741,0.1613948448144647,0.1106092938305156,0.0797446520252637,0.140972800858067,,8,0.3280996605208643,0.3160019721519045,0.342131953114402,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_replication_nadig_fullsize.csv
Nadig,source_frozen_strong_linear,nadig_jurkat,nadig_hepg2|nadig_jurkat,absolute_effect_rank_agreement,pairwise_order_disagreement,0.4173201894093546,0.4031854305625489,0.4317303233156523,0.116253833826515,0.0984938559219738,0.1335948345829568,0.0455823293235018,0.0272309573242651,0.0645655575252166,,8,0.2759585130170073,0.2658685630594278,0.287230744646852,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_replication_nadig_fullsize.csv
Nadig,source_frozen_strong_linear,nadig_jurkat,nadig_hepg2|nadig_jurkat,delta_cosine,pairwise_order_disagreement,0.4623728879983261,0.4446902554658095,0.4790122829828179,0.1745496491397486,0.1556145342594572,0.1941744322662674,0.1441019532983392,0.1239634735164888,0.1643720699375302,,8,0.2986514751190419,0.2873568163685734,0.3098000918536504,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_replication_nadig_fullsize.csv
Nadig,source_frozen_strong_linear,nadig_jurkat,nadig_hepg2|nadig_jurkat,systema_centroid_accuracy,pairwise_order_disagreement,0.5020798759458397,0.4716969042215892,0.533061083252286,0.1381028871821047,0.1086929363508234,0.167597880468396,0.1040591781799871,0.0664551129949348,0.144736892173701,,8,0.3283473492921865,0.3140596180773502,0.3429817948134301,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_replication_nadig_fullsize.csv
Nadig_matched_1255,source_frozen_strong_linear,nadig_hepg2,nadig_hepg2|nadig_jurkat,delta_cosine,pairwise_order_disagreement,0.4776955344491254,0.4557454710662931,0.4986897068822,0.1705094615159775,0.1451244781638994,0.195433862635582,0.1548381615483838,0.1298898504864115,0.1802154301454469,,8,0.3013519386568558,0.2871987965204572,0.3157779011545524,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_replication_nadig_matched1255.csv
Nadig_matched_1255,source_frozen_strong_linear,nadig_hepg2,nadig_hepg2|nadig_jurkat,systema_centroid_accuracy,pairwise_order_disagreement,0.496843078404087,0.4732779488108173,0.5206075458929832,0.1166407661221144,0.0736510417659505,0.1433959933789562,0.1002889694809279,0.0607954466027437,0.1305225350591255,,8,0.328409345075837,0.3141022909955075,0.3417155461090248,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_replication_nadig_matched1255.csv
Nadig_matched_1255,source_frozen_strong_linear,nadig_hepg2,nadig_hepg2|nadig_jurkat,absolute_effect_rank_agreement,pairwise_order_disagreement,0.4846037001912605,0.4671031027405529,0.5005366095426904,0.1159284172719012,0.0929311462284832,0.1387026217299859,0.0746408109190034,0.052341376122305,0.0981876243034242,,8,0.3201248087395236,0.3077843808180356,0.3318108506960991,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_replication_nadig_matched1255.csv
Nadig_matched_1255,source_frozen_strong_linear,nadig_jurkat,nadig_hepg2|nadig_jurkat,delta_cosine,pairwise_order_disagreement,0.4750418700000635,0.45402283211651,0.4959227523716935,0.1689321522522351,0.1443784669932709,0.1934653888433507,0.1498709395273769,0.1255753858568914,0.1739010624169986,,8,0.301980972759679,0.2876928172477554,0.3161884519338912,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_replication_nadig_matched1255.csv
Nadig_matched_1255,source_frozen_strong_linear,nadig_jurkat,nadig_hepg2|nadig_jurkat,systema_centroid_accuracy,pairwise_order_disagreement,0.5012130014233338,0.4735946802900042,0.5293799840510366,0.1207997072316793,0.0805428842842346,0.1512238605387064,0.1003076936274042,0.0590258980028848,0.1377204419959714,,8,0.3290643691581362,0.3164042077304816,0.341923343309378,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_replication_nadig_matched1255.csv
Nadig_matched_1255,source_frozen_strong_linear,nadig_jurkat,nadig_hepg2|nadig_jurkat,absolute_effect_rank_agreement,pairwise_order_disagreement,0.4293182142244419,0.4137193252508308,0.4459171209897253,0.0993614819827548,0.0774234243250284,0.12081002147709,0.0474591832033905,0.0282408484085984,0.0680702628084154,,8,0.2858582696327926,0.2745569555907152,0.2982046534754126,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_replication_nadig_matched1255.csv
Nadig_matched_345,source_frozen_strong_linear,nadig_hepg2,nadig_hepg2|nadig_jurkat,delta_cosine,pairwise_order_disagreement,0.4985652489888776,0.4596844455679137,0.5365023592854735,0.1689923765588136,0.1067740984159083,0.2214785557802494,0.1612362445230873,0.0997684951129085,0.2141161105493765,,8,0.3186709976407145,0.2936949148972025,0.340266156892484,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_replication_nadig_matched345.csv
Nadig_matched_345,source_frozen_strong_linear,nadig_hepg2,nadig_hepg2|nadig_jurkat,systema_centroid_accuracy,pairwise_order_disagreement,0.4893665950455005,0.4523757162116616,0.5243011670037073,0.0815533114256824,0.0259082195820694,0.1332484411863835,0.0776070462588473,0.0228483105830805,0.1286957574991574,,8,0.3235703024941018,0.2959041118975396,0.3461601575665655,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_replication_nadig_matched345.csv
Nadig_matched_345,source_frozen_strong_linear,nadig_hepg2,nadig_hepg2|nadig_jurkat,absolute_effect_rank_agreement,pairwise_order_disagreement,0.4858645833333334,0.4580334723626559,0.5128161863835524,0.076487013397371,0.0409666750926862,0.1177087546343107,0.0588856062521065,0.0232498104145601,0.0981393242332321,,8,0.3231086366700371,0.3053493638355241,0.3421907650825749,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_replication_nadig_matched345.csv
Nadig_matched_345,source_frozen_strong_linear,nadig_jurkat,nadig_hepg2|nadig_jurkat,delta_cosine,pairwise_order_disagreement,0.4967297817660937,0.4609780502190765,0.5296115604988204,0.1674642652510954,0.1108310161779575,0.2146107178968654,0.1578154448938321,0.1015923070441522,0.205089421132457,,8,0.3196404385743175,0.2969158661948095,0.3413802873272666,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_replication_nadig_matched345.csv
Nadig_matched_345,source_frozen_strong_linear,nadig_jurkat,nadig_hepg2|nadig_jurkat,systema_centroid_accuracy,pairwise_order_disagreement,0.4910826192281766,0.4564406386922817,0.528625821536906,0.0880110949612403,0.0311466759352881,0.1381094118638354,0.0814433455510616,0.0262501053252443,0.1311398297944051,,8,0.3246807044152342,0.3003536821705426,0.3469853808560835,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_replication_nadig_matched345.csv
Nadig_matched_345,source_frozen_strong_linear,nadig_jurkat,nadig_hepg2|nadig_jurkat,absolute_effect_rank_agreement,pairwise_order_disagreement,0.4398722615436468,0.4097021402089652,0.4709502443545669,0.0700642441860465,0.0243898508594539,0.1129376263902931,0.0405023550724637,-0.0010678926525109,0.0821681201550386,,8,0.2968047986181328,0.2763670163464779,0.3187145053926525,inconclusive_ci_crosses_zero,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_replication_nadig_matched345.csv
