split_seed,scenario,predictor,environment_key,n_test,base_aurc,base_brier,base_log_loss,base_rank_spearman_confidence_vs_negative_risk,platt_aurc,platt_brier,platt_log_loss,platt_rank_spearman_confidence_vs_negative_risk,isotonic_aurc,isotonic_brier,isotonic_log_loss,isotonic_rank_spearman_confidence_vs_negative_risk,platt_delta_aurc,platt_delta_brier,platt_delta_log_loss,platt_delta_rank_spearman,isotonic_delta_aurc,isotonic_delta_brier,isotonic_delta_log_loss,isotonic_delta_rank_spearman,n_comparable_pairs,n_order_disagreements,rank_order_preserved,n_base_tied_pairs,n_recalibrated_tied_pairs,calibration_fit_on,test_outcomes_used_for_evaluation_only
20260927,in_domain,strong_linear,frangieh_melanoma_ifng,50,0.6728680903323117,0.17169262307317223,0.5264332386195245,0.5684372357530147,0.6728680903323117,0.18300206624369816,0.5498538080692815,0.5684372357530147,0.6684195528168593,0.17931826796020897,0.5331793947513155,0.5669867735567032,0.0,0.011309443170525929,0.02342056944975701,0.0,-0.004448537515452378,0.007625644887036737,0.00674615613179097,-0.0014504621963115083,1219,0,True,6,6,calibration_rows_only,1
20261007,in_domain,mean_matching,frangieh_melanoma_coculture,50,0.7772199920235839,0.4173638905750879,1.2020053878524912,,0.7772199920235839,0.27610622543213253,0.7474464878419461,,0.7772199920235839,0.26640281392090137,0.7266944522280656,,0.0,-0.14125766514295535,-0.4545589000105451,,0.0,-0.1509610766541865,-0.4753109356244256,,0,0,True,1225,1225,calibration_rows_only,1
20261007,in_domain,mean_matching,frangieh_melanoma_control,50,0.6256666406841209,0.16863358178507099,0.5264768491261141,,0.6256666406841209,0.14355832951453096,0.4694392007750137,,0.6256666406841209,0.15115976331360945,0.4874070831473391,,0.0,-0.025075252270540027,-0.05703764835110042,,0.0,-0.01747381847146154,-0.03906976597877504,,0,0,True,1225,1225,calibration_rows_only,1
20261007,in_domain,mean_matching,frangieh_melanoma_ifng,50,0.5949840142788511,0.26020051945984135,0.7135581440319038,,0.5949840142788511,0.20526429628855616,0.6024164773320657,,0.5949840142788511,0.2060239320478641,0.6040094445470366,,0.0,-0.05493622317128519,-0.11114166669983805,,0.0,-0.054176587411977256,-0.10954869948486712,,0,0,True,1225,1225,calibration_rows_only,1
20261007,in_domain,slim_string,frangieh_melanoma_coculture,50,0.8464603412589685,0.14307894396401596,0.4489346163003397,0.24374779171023525,0.8464603412589685,0.24391439265779571,0.6807572217529433,0.24374779171023525,0.8657569100779563,0.24405758175192283,0.6780221376449691,0.21844428866853596,0.0,0.10083544869377975,0.23182260545260358,0.0,0.01929656881898778,0.10097863778790686,0.2290875213446294,-0.025303503041699288,1210,0,True,15,15,calibration_rows_only,1
20261007,in_domain,slim_string,frangieh_melanoma_control,50,0.7532574364491328,0.14580770034531143,0.4509935020305524,0.44044436974799434,0.7532574364491328,0.2125493356549405,0.6090941062282652,0.44044436974799434,0.7571153894161778,0.21210622133307463,0.5971743580154883,0.4073485697494247,0.0,0.06674163530962907,0.15810060419771282,0.0,0.003857952967045053,0.0662985209877632,0.14618085598493596,-0.03309579999856965,1203,0,True,22,22,calibration_rows_only,1
20261007,in_domain,slim_string,frangieh_melanoma_ifng,50,0.785091374579261,0.23027361203713842,0.6482549365394648,0.49834273747682467,0.785091374579261,0.31946460743651656,0.8446513827171941,0.49834273747682467,0.7811587896602719,0.2997541592175612,0.8016509651543471,0.5316217437288674,0.0,0.08919099539937814,0.19639644617772933,0.0,-0.003932584918989179,0.06948054718042279,0.15339602861488233,0.03327900625204272,1213,0,True,12,12,calibration_rows_only,1
20261007,in_domain,strong_linear,frangieh_melanoma_coculture,50,0.8036540211323624,0.17204221357561522,0.542611393796965,0.4378317575366976,0.8036540211323624,0.22026166117510843,0.6330962002128753,0.4378317575366976,0.8012705076598833,0.21144719923332456,0.6143083919736584,0.4154834352851277,0.0,0.048219447599493204,0.09048480641591028,0.0,-0.002383513472479115,0.039404985657709335,0.0716969981766934,-0.022348322251569908,1213,0,True,12,12,calibration_rows_only,1
20261007,in_domain,strong_linear,frangieh_melanoma_control,50,0.651354111330802,0.25138373354297483,0.719034197210195,0.363902801115303,0.651354111330802,0.19340766663678263,0.5691470984425056,0.363902801115303,0.6627308328711152,0.20108163087682057,0.5877879047194546,0.3182497245346922,0.0,-0.0579760669061922,-0.14988709876768946,0.0,0.011376721540313217,-0.05030210266615426,-0.13124629249074038,-0.045653076580610796,1211,0,True,14,14,calibration_rows_only,1
20261007,in_domain,strong_linear,frangieh_melanoma_ifng,50,0.7090834856297835,0.24244414811571416,0.7107428904991943,0.33400577332045184,0.7090834856297835,0.23364252972733332,0.6588930515299672,0.33400577332045184,0.688606145568844,0.24062474385512544,0.6739995044423627,0.35060501806919137,0.0,-0.008801618388380839,-0.05184983896922701,0.0,-0.020477340060939486,-0.001819404260588714,-0.036743386056831584,0.016599244748739528,1216,0,True,9,9,calibration_rows_only,1
20261017,in_domain,mean_matching,frangieh_melanoma_coculture,50,0.785174308685199,0.2930669028450875,0.8003369678569788,,0.785174308685199,0.2557476890630585,0.7059148275203294,,0.785174308685199,0.2502998750520617,0.6940742331700591,,0.0,-0.037319213782029015,-0.09442214033664942,,0.0,-0.042767027793025825,-0.10626273468691971,,0,0,True,1225,1225,calibration_rows_only,1
20261017,in_domain,mean_matching,frangieh_melanoma_control,50,0.7377170953820782,0.2974196180676492,0.7895025801753539,,0.7377170953820782,0.24290840446943662,0.6789559648135055,,0.7377170953820782,0.228335262345679,0.6495220497388544,,0.0,-0.05451121359821259,-0.1105466153618484,,0.0,-0.06908435572197022,-0.1399805304364995,,0,0,True,1225,1225,calibration_rows_only,1
20261017,in_domain,mean_matching,frangieh_melanoma_ifng,50,0.6554063286487097,0.23786016379902278,0.6687848882675064,,0.6554063286487097,0.2318132366945872,0.6565920257008679,,0.6554063286487097,0.23063020214030916,0.6539242498420957,,0.0,-0.006046927104435579,-0.01219286256663843,,0.0,-0.007229961658713618,-0.014860638425410633,,0,0,True,1225,1225,calibration_rows_only,1
20261017,in_domain,slim_string,frangieh_melanoma_coculture,50,0.899991871938697,0.1844066514742907,0.5387299346341592,0.3167585473938453,0.899991871938697,0.2653877993490165,0.7414746025312623,0.3167585473938453,0.9010541829007831,0.2488259880120721,0.7108033206067357,0.32647573373417293,0.0,0.08098114787472582,0.2027446678971031,0.0,0.0010623109620860882,0.0644193365377814,0.1720733859725765,0.009717186340327644,1204,0,True,21,21,calibration_rows_only,1
20261017,in_domain,slim_string,frangieh_melanoma_control,50,0.7848570845945705,0.11671267501915632,0.3856308912974968,0.3960510609200638,0.7848570845945705,0.1572838002063732,0.48812472157614833,0.3960510609200638,0.7904926761419169,0.1513338951045675,0.4705794721950369,0.38067304505133454,0.0,0.04057112518721688,0.10249383027865155,0.0,0.005635591547346386,0.03462122008541117,0.0849485808975401,-0.015378015868729278,1211,0,True,14,14,calibration_rows_only,1
20261017,in_domain,slim_string,frangieh_melanoma_ifng,50,0.7977274738027522,0.26027794086914985,0.7137414943021522,0.1582717184018033,0.7977274738027522,0.34310441312642337,0.923765608340225,0.1582717184018033,0.7951387773825132,0.33382337168334886,0.9391265767800046,0.1605610216709944,0.0,0.08282647225727352,0.21002411403807286,0.0,-0.002588696420239067,0.07354543081419901,0.22538508247785238,0.0022893032691911064,1207,0,True,18,18,calibration_rows_only,1
20261017,in_domain,strong_linear,frangieh_melanoma_coculture,50,0.843249423079932,0.15334136074595228,0.4842907784740639,0.22371678179514387,0.843249423079932,0.20931816759937477,0.6103263207106203,0.22371678179514387,0.8283677468566821,0.20065535664091594,0.5929006460179059,0.25525962633777305,0.0,0.05597680685342249,0.12603554223655644,0.0,-0.014881676223249873,0.047313995894963656,0.10860986754384205,0.03154284454262918,1212,0,True,13,13,calibration_rows_only,1
20261017,in_domain,strong_linear,frangieh_melanoma_control,50,0.6865179454281765,0.23471464538407194,0.6757622364126518,0.4325881827440532,0.6865179454281765,0.2006234413874162,0.5874501466968418,0.4325881827440532,0.6907186109608483,0.20184895518377372,0.5929133880052726,0.41756593775938516,0.0,-0.034091203996655745,-0.08831208971580995,0.0,0.004200665532671843,-0.032865690200298225,-0.08284884840737916,-0.015022244984668032,1222,0,True,3,3,calibration_rows_only,1
20261017,in_domain,strong_linear,frangieh_melanoma_ifng,50,0.7192537651238662,0.19896834479395756,0.5726841523480732,0.4610322774368868,0.7192537651238662,0.20611397716570892,0.5981481272131264,0.4610322774368868,0.722282312599789,0.1992999142295276,0.5793534654167746,0.423811859655128,0.0,0.007145632371751365,0.02546397486505314,0.0,0.0030285474759228492,0.000331569435570056,0.0066693130687013324,-0.037220417781758774,1213,0,True,12,12,calibration_rows_only,1
