baseline,source_environment_id,target_environment_id,split_seed_count,transfer_gain_mean,transfer_gain_std,transfer_gain_median,negative_transfer_rate
raw_scalar_uq,env__v~xucao2023__v~hek293__v~rna__v~baseline,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,5,-0.03556988455550862,0.015837180054968626,-0.0315382047331719,1.0
raw_scalar_uq,env__v~xucao2023__v~hek293__v~rna__v~baseline,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,5,-0.0111292715850447,0.025173708574185688,-0.0121898031847618,0.6
raw_scalar_uq,env__v~xucao2023__v~hek293__v~rna__v~baseline,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,5,0.02372998290579208,0.02768127673631854,0.0219393294326415,0.2
raw_scalar_uq,env__v~xucao2023__v~hek293__v~rna__v~baseline,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,5,0.007679112342934741,0.016770028351385496,0.0090594233415943,0.2
u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,5,0.01001649349031104,0.01697246592793967,0.0070420146200312,0.4
u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,5,0.02603198017445324,0.015932899797640326,0.0245618045566337,0.0
u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,5,-0.010302191519337572,0.04233070238143832,-5.668164851146962e-05,0.6
u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,5,0.0298094375025146,0.0342707472548874,0.025415526084861,0.2
u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,5,0.010003681542539899,0.015495843964567229,0.0123635738197415,0.4
u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,5,-0.0036976104670594203,0.010783941804383378,-0.0070444101975385,0.6
u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,env__v~xucao2023__v~hek293__v~rna__v~baseline,5,0.02211218634366376,0.028815639376853407,0.0194015456191053,0.2
u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,5,0.02186007398072444,0.024375694329399747,0.0119668569139976,0.0
u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,5,0.02954255196139114,0.013765726498129523,0.0215220059716734,0.0
u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,5,-0.02005315962616616,0.05160488156456326,0.0023230808633429,0.4
u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,5,0.03066349222019412,0.03287513175825865,0.0269609764344473,0.2
u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,5,0.00815577522046188,0.01725314813230101,0.0106617244496608,0.2
u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,5,-0.00280486821904428,0.008852797765601748,-0.0040111009005631,0.8
u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,env__v~xucao2023__v~hek293__v~rna__v~baseline,5,0.00870282863570766,0.04304287006584031,0.0038707975458311,0.4
u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,5,0.01964777168025712,0.02415524380724869,0.0148825751949358,0.2
u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,5,0.01338535357743156,0.01974023256063175,0.0198457740916767,0.2
u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,5,-0.022707605037799238,0.033257902116707365,-0.0100269747898851,1.0
u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,5,0.02938331221898564,0.03392384802341282,0.0230030956433813,0.2
u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,5,-0.0121769749921765,0.017735073648015624,-0.0120156856954221,0.8
u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,5,-0.0115130245262462,0.015025361852468624,-0.0203801540852818,0.8
