dataset,evidence_tier,source_environment_id,left_target_environment_id,right_target_environment_id,predictor,regime,metric,cell_budget,cell_budget_label,label_universe,n,observed_D,observed_D_ci_low,observed_D_ci_high,measurement_identifiable,measurement_identifiable_ci_low,measurement_identifiable_ci_high,joint_identifiable,joint_identifiable_ci_low,joint_identifiable_ci_high,stable_fraction_both,stable_inversion_fraction,top_k_retention,normalized_regret,excess_regret,checksums,provenance,status
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,source_frozen_ensemble,measurement_depth,absolute_effect_rank_agreement,1000000000,full,fixed matched universe at cell budget,243.0,0.291282217890405,0.2882636632734098,0.2941924770774672,0.0563244531080788,0.0535302505234279,0.0591587250018049,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,source_frozen_ensemble,canonical_fullsize_claim_lock,delta_cosine,full,full,canonical matched perturbation universe,,0.3591701423278676,0.322767414988445,0.3998573970140494,0.127843989582187,0.0934796962693958,0.1645225780418913,0.0496368071604123,0.0072330893951065,0.0901661256006749,0.7362165731264444,0.2641255605381166,,,,aa33460ca8676e29ab32822c2ff04e01191579abc860952c5d91eb442cbb74ee,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,source_frozen_ensemble,measurement_depth,delta_cosine,10,10,fixed matched universe at cell budget,243.0,0.4859101678966998,0.4775241188540852,0.4942445215340837,0.029303699169019,0.0207860025620968,0.0381380868165379,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,source_frozen_ensemble,measurement_depth,delta_cosine,160,160,fixed matched universe at cell budget,139.0,0.4761443019497445,0.4665482396691343,0.4861079831786745,0.1398446460223125,0.129659055364404,0.1495904146248218,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,source_frozen_ensemble,measurement_depth,delta_cosine,20,20,fixed matched universe at cell budget,234.0,0.4877352261472432,0.4798856424929386,0.4967167993348251,0.046379443160559,0.0329607314478559,0.060784209432278,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,source_frozen_ensemble,measurement_depth,delta_cosine,40,40,fixed matched universe at cell budget,223.0,0.4602883152210506,0.450419376775879,0.470255389919067,0.0645935172841002,0.0520209334895433,0.0778087841204433,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,source_frozen_ensemble,measurement_depth,delta_cosine,80,80,fixed matched universe at cell budget,207.0,0.4510662414208213,0.4412418507574691,0.4608578787736659,0.1000664446633209,0.0887007332364022,0.1109396057095507,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,source_frozen_ensemble,measurement_depth,delta_cosine,1000000000,full,fixed matched universe at cell budget,243.0,0.3852718215291315,0.3819363222871995,0.3885645440762399,0.1380044762111038,0.1343583495776478,0.1414953793949895,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,source_frozen_ensemble,canonical_fullsize_claim_lock,systema_centroid_accuracy,full,full,canonical matched perturbation universe,,0.1269926543413668,0.1045263838450533,0.1521865026961593,0.0474177946517002,0.0278048310773632,0.0705772440482741,0.0445353802134918,0.0254383551593852,0.0677251843292615,0.9231502879571548,0.0685448621155527,,,,aa33460ca8676e29ab32822c2ff04e01191579abc860952c5d91eb442cbb74ee,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,source_frozen_ensemble,measurement_depth,systema_centroid_accuracy,10,10,fixed matched universe at cell budget,243.0,0.4442290469226496,0.4409213628994773,0.447620069947511,0.0142927592422541,0.0089038250065186,0.0197085614846557,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
