source_environment_id,target_environment_id,source_target_orientation,left_target_environment_id,right_target_environment_id,metric,split_seed,cell_budget,cell_budget_label,cell_budget_order,universe_mode,decision_budget_fraction,k,n_items,retention,selected_target_risk,oracle_target_risk,random_target_risk,regret,normalized_regret,boundary_inversion,boundary_inversion_lower_bound,boundary_bound_holds,measurement_floor_regret,joint_floor_regret,excess_regret,joint_excess_regret,measurement_floor_status,joint_floor_status
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260913,10,10,1,matched_fixed,0.05,6,139,0.16666666666666666,0.7263304566076785,0.7100905649795723,0.7459450624116026,0.016239891628106157,0.4524139023805915,0.1594611528822055,0.03195488721804511,True,0.01804417273294212,0.021943989080976698,-0.0018042811048359642,-0.005704097452870541,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260913,10,10,1,matched_fixed,0.1,13,139,0.2692307692307692,0.7280661583967423,0.714362990808271,0.7459450624116026,0.01370316758847126,0.4334310624238287,0.17414529914529914,0.05677655677655678,True,0.011453347164212313,0.018461475419248818,0.002249820424258947,-0.004758307830777558,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260913,10,10,1,matched_fixed,0.2,27,139,0.4537037037037036,0.7319153396957605,0.7201699091038176,0.7459450624116026,0.011745430591942968,0.4554538162474876,0.205109126984127,0.07399140211640212,True,0.007539177120167995,0.01370021443606383,0.004206253471774973,-0.0019547838441208616,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260913,10,10,1,matched_fixed,0.5,69,139,0.7463768115942029,0.7362167831362333,0.7316257765376165,0.7459450624116026,0.004591006598616859,0.32045199078234005,0.181055900621118,0.06480331262939959,True,0.005067071899076625,0.007966504419830326,-0.0004760653004597659,-0.003375497821213467,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260914,10,10,1,matched_fixed,0.05,6,139,0.125,0.7411672640030418,0.7240080905188317,0.7575678792716444,0.017159173484210033,0.5127427512922708,0.18859649122807018,0.03540100250626566,True,0.016277474010443826,0.020900129241091716,0.0008816994737662065,-0.003740955756881683,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260914,10,10,1,matched_fixed,0.1,13,139,0.25,0.7444789869935421,0.7291444071565827,0.7575678792716444,0.015334579836959378,0.542146269839478,0.22786935286935286,0.060286935286935295,True,0.01816373656115111,0.0182706561516044,-0.0028291567241917337,-0.002936076314645021,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260914,10,10,1,matched_fixed,0.2,27,139,0.41666666666666663,0.7453944364744671,0.735692282862487,0.7575678792716444,0.009702153611980097,0.4448334594987139,0.2161871693121693,0.08225859788359789,True,0.014030646105946398,0.014986706356782587,-0.004328492493966302,-0.00528455274480249,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260914,10,10,1,matched_fixed,0.5,69,139,0.673913043478261,0.7505564832723627,0.7449949576059589,0.7575678792716444,0.005561525666403722,0.44212662305114414,0.23286749482401656,0.10652173913043478,True,0.005734017583900408,0.008478986621391666,-0.00017249191749668658,-0.002917460954987945,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260915,10,10,1,matched_fixed,0.05,6,139,0.125,0.7391834429963728,0.7207019836889266,0.7519390510609687,0.018481459307446158,0.5899434732754614,0.2644110275689223,0.03540100250626566,True,0.017731501005819217,0.019395469963565344,0.0007499583016269407,-0.0009140106561191866,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260915,10,10,1,matched_fixed,0.1,13,139,0.25,0.7384310099754426,0.7249985413380702,0.7519390510609687,0.013432468637372463,0.5010501207393374,0.21932234432234432,0.05906593406593407,True,0.011304447320926614,0.016825894758735988,0.0021280213164458495,-0.003393426121363525,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
