n,mean_fidelity,median_fidelity,mean_spearman,mean_rmse,mean_true_norm,mean_pred_norm,mean_top_deg_overlap_at_50,aggregation_level,environment_id,environment_key,dataset_id,predictor,seed,split_id,uncertainty_source,linear_embedding_source,linear_reference_release,slim_embedding_path,training_gene_space_policy,training_gene_count,evaluation_gene_space,evaluation_gene_count,uq_mean_gene_variance,uq_median_gene_variance,uq_top_effect_variance,uq_cosine_disagreement,uq_effect_norm_variance
20.0,0.4952732135302364,0.5268996659286801,0.4663828363241132,0.03989509323993859,3.508028507232666,2.1728310585021973,0.09069472432760184,environment_predictor_ensemble_mean,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,TianKampmann2021_CRISPRa,strong_linear,ensemble_mean,ptl_biological_instance_split_v1,training_bootstrap_disagreement,native_post_expression_X_train_only,const-ae/linear_perturbation_prediction-Paper_publication_runner,not_applicable,native_predictor_gene_space,33538,ptl_context_v2_intersection,6897,0.00020563436391129655,6.899699018102807e-05,0.0013471480865298974,0.04974051788169314,0.061855686247882756
38.0,0.5000706526990366,0.5122708773876465,0.47585662297507636,0.030579497364784106,2.8736841678619385,1.4580187797546387,0.08152795235486963,environment_predictor_ensemble_mean,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,TianKampmann2021_CRISPRi,mean_matching,ensemble_mean,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,not_applicable,native_predictor_gene_space,33538,ptl_context_v2_intersection,6897,5.227125268888716e-06,2.9023347998399893e-06,1.1107214106224892e-05,0.005603949091179339,8.135904963186476e-06
38.0,0.39653699087796507,0.3998661477583545,0.37898233552663646,0.033905764424982755,2.8736841678619385,1.8484021425247192,0.05468884884393895,environment_predictor_ensemble_mean,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,TianKampmann2021_CRISPRi,slim_string,ensemble_mean,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,data/external/slim/gene_string_embeddings.v0.3.h5,native_predictor_gene_space,33538,ptl_context_v2_intersection,6897,0.00040440466632051707,0.00020227160633560237,0.0012338337004946197,0.1581379313652027,0.13694677282054815
38.0,0.48954136125101116,0.5030743276340341,0.46486750151849776,0.030811855240070393,2.8736841678619385,1.4965569972991943,0.07620817906646421,environment_predictor_ensemble_mean,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,TianKampmann2021_CRISPRi,strong_linear,ensemble_mean,ptl_biological_instance_split_v1,training_bootstrap_disagreement,native_post_expression_X_train_only,const-ae/linear_perturbation_prediction-Paper_publication_runner,not_applicable,native_predictor_gene_space,33538,ptl_context_v2_intersection,6897,3.6425599010870736e-05,1.8755381539464715e-05,8.125315767139992e-05,0.032242306116627636,0.004693221480653375
50.0,0.2350242203045536,0.24841107967144965,0.16969184509200488,0.02995045542915357,2.3441481590270996,0.5781155228614807,0.05386303136210942,environment_predictor_seed,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,mean_matching,0,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,not_applicable,native_predictor_gene_space,23712,ptl_context_v2_intersection,6897,,,,,
50.0,0.23966201775048274,0.25624463128352803,0.17242003805491887,0.029948479307575146,2.3441481590270996,0.6073625087738037,0.05277699187996812,environment_predictor_seed,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,mean_matching,1,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,not_applicable,native_predictor_gene_space,23712,ptl_context_v2_intersection,6897,,,,,
50.0,0.23357413135449664,0.24101365621703763,0.1692023582225732,0.02995044968326447,2.3441481590270996,0.5557160377502441,0.051671181586926525,environment_predictor_seed,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,mean_matching,2,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,not_applicable,native_predictor_gene_space,23712,ptl_context_v2_intersection,6897,,,,,
50.0,0.04188924557377023,0.03378110936168034,0.029091168978883683,0.050575839797683333,2.3441481590270996,3.21353816986084,0.03427996027714785,environment_predictor_seed,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,slim_string,0,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,data/external/slim/gene_string_embeddings.v0.3.h5,native_predictor_gene_space,23712,ptl_context_v2_intersection,6897,,,,,
50.0,0.045131442976656395,0.030776775376023833,0.028656917207557253,0.05257416440958057,2.3441481590270996,3.402381658554077,0.04047742036702166,environment_predictor_seed,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,slim_string,1,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,data/external/slim/gene_string_embeddings.v0.3.h5,native_predictor_gene_space,23712,ptl_context_v2_intersection,6897,,,,,
50.0,0.029400769048183246,0.024476944180501642,0.016941644875699952,0.0553880134554041,2.3441481590270996,3.5280752182006836,0.03966389318780527,environment_predictor_seed,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,slim_string,2,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,data/external/slim/gene_string_embeddings.v0.3.h5,native_predictor_gene_space,23712,ptl_context_v2_intersection,6897,,,,,
