source_environment_id,left_target_environment_id,right_target_environment_id,metric,cell_budget,cell_budget_label,cell_budget_order,universe_mode,n_split_seeds,n_perturbations_mean,cross_disagreement,cross_disagreement_ci_low,cross_disagreement_ci_high,within_disagreement_left,within_disagreement_left_ci_low,within_disagreement_left_ci_high,within_disagreement_right,within_disagreement_right_ci_low,within_disagreement_right_ci_high,measurement_floor,measurement_floor_ci_low,measurement_floor_ci_high,identifiable_divergence,identifiable_divergence_ci_low,identifiable_divergence_ci_high,stable_pair_fraction,stable_pair_fraction_ci_low,stable_pair_fraction_ci_high
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,80,80,4,matched_fixed,30,139.0,0.4750921777938632,0.4689026291639499,0.48134731416096005,0.4272765213328569,0.41837159289465503,0.43574654892061776,0.3999787021381359,0.3913706355192344,0.40897508736482396,0.4136276117354965,0.4081737928397682,0.4191806863265149,0.061464566058366824,0.054123409030072414,0.06908340006182458,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,160,160,5,matched_fixed,30,139.0,0.417001160208546,0.41074208499943515,0.42297878534729816,0.35406694306613085,0.34483482783665537,0.36327825995731833,0.3443268948589209,0.340548636436473,0.34802343524565915,0.3491969189625258,0.34404208177237006,0.35459381584594074,0.06780424124602008,0.06195282761885728,0.07394470661949702,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,1000000000,full,6,matched_fixed,30,139.0,0.21838003281585253,0.21558121923513815,0.22133061971475446,0.16399091253313133,0.15966174428877947,0.16852202448567458,0.14623248769405525,0.14273507509781647,0.14994320333207115,0.1551117001135933,0.1520689763978291,0.1582102738861542,0.06326833270225923,0.059535056165593826,0.06701817493373721,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,1000000000,full,6,matched_fixed,30,139.0,0.29981698851445154,0.29813801590306704,0.30155244225672084,0.23652656821910883,0.2313517606967057,0.24223210904960232,0.2577937649880095,0.25271929824561395,0.26264230720686604,0.2471601666035592,0.24322100214565187,0.25112362741385835,0.05265682191089232,0.04844030039126593,0.056803294206739866,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,1000000000,full,6,matched_fixed,30,139.0,0.3573646346081029,0.3537233371197779,0.36080461946232495,0.2372207497160166,0.23388804745677133,0.2405275779376498,0.22587403761201558,0.22236526568219103,0.22913164205477718,0.23154739366401614,0.22906064621986616,0.23412880222138074,0.12581724094408683,0.11971475451217972,0.13115675880348351,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,1000000000,full,6,matched_fixed,30,139.0,0.2060709327275022,0.20397545121797292,0.20831140350877192,0.16482393032942064,0.160960494762085,0.16876246371323994,0.13819260381168744,0.13542786823173036,0.14081787201817492,0.15150826707055404,0.14892685851318938,0.15409661744288775,0.054562665656948124,0.050930360974378384,0.058416004038874154,0.0,0.0,0.0
frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,1000000000,full,6,matched_fixed,30,186.0,0.30659545368798347,0.30427230711186565,0.30892791454442553,0.2242548575740426,0.2215897943784191,0.22684917940011315,0.24315223542727785,0.23888417279758534,0.24739223731371435,0.2337035465006602,0.23105911620448968,0.23622700905489527,0.07289190718732314,0.06968732314657612,0.07600995095265042,0.0,0.0,0.0
frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,1000000000,full,6,matched_fixed,30,186.0,0.39719156762874924,0.39459005376344075,0.39974556687417456,0.2471467647613657,0.244076353518204,0.25038860592341067,0.22669779286926992,0.2232312299566119,0.23041006413884166,0.23692227881531783,0.2338568194680249,0.2400411478966232,0.16026928881343142,0.15518510658366347,0.16503772873042824,0.0,0.0,0.0
frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,1000000000,full,6,matched_fixed,30,186.0,0.16034238822863606,0.15934245897000562,0.16128324844368983,0.1278060743255989,0.12540039615166945,0.1301556310130164,0.12743821920392376,0.12464582154310504,0.13049424636860965,0.12762214676476133,0.1253298905866817,0.12981583663459723,0.032720241463874734,0.03090619694397282,0.03456199302018487,0.0,0.0,0.0
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,10,10,1,matched_fixed,30,139.0,0.3006721558237281,0.2974747843430325,0.3038674530038028,0.3324997544207338,0.32341963863624923,0.34152365427166714,0.2861340758422448,0.27889145511547747,0.2933044139956852,0.30931691513148935,0.30347288501763875,0.31485530872536993,-0.008644759307761159,-0.012636742410986722,-0.0046299972310937685,0.0,0.0,0.0
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20,20,2,matched_fixed,30,139.0,0.32037372482966014,0.31348952608266695,0.3276226310810031,0.34264911573045703,0.33232271333470853,0.353715992336699,0.2869129151364009,0.2784159620076596,0.2955957769114969,0.31478101543342896,0.3070834947633291,0.32242247281284037,0.005592709396231096,0.0006328386983193821,0.010242604418769131,0.0,0.0,0.0
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,40,40,3,matched_fixed,30,139.0,0.3164586042379613,0.31200460986817297,0.3212944491948683,0.31665231102368474,0.3089515325527595,0.32477104476173274,0.3004490370836971,0.29312672780362503,0.3068643845292429,0.3085506740536909,0.3030371628580392,0.31390796863277426,0.007907930184270403,0.0034823139184504944,0.012052828743149871,0.0,0.0,0.0
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,80,80,4,matched_fixed,30,139.0,0.3221675639519106,0.3166991595279844,0.32771792013393897,0.30914604414778474,0.3034726402441794,0.3149061299347619,0.28168910493724836,0.2761296752152809,0.287220755116337,0.29541757454251655,0.2910962323075487,0.3000545966452644,0.026749989409394145,0.0229909689759713,0.030886151754479667,0.0,0.0,0.0
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,160,160,5,matched_fixed,30,139.0,0.3222630505426688,0.316578872884795,0.32780042647909324,0.3022532849296599,0.2958886380143197,0.3087773648976364,0.28416170443061833,0.27727022521767536,0.29123280139329394,0.2932074946801391,0.28782188569420963,0.29818653349210034,0.02905555586252963,0.02335583376616679,0.03452917585286608,0.0,0.0,0.0
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,1000000000,full,6,matched_fixed,30,139.0,0.3266376372586142,0.32286349867474434,0.33076517733181876,0.2428246876183264,0.23929067272497787,0.24627098321342925,0.2386722201186419,0.23424208002019434,0.24329231351760694,0.24074845386848415,0.2378890571753124,0.243872586141613,0.08588918339012998,0.08205761706424333,0.08981667297740753,0.0,0.0,0.0
