aggregation_level,scenario,heldout_environment_id,heldout_predictor,environment_id,environment_key,predictor,information_set,method,n,aurc,optimal_aurc,excess_aurc,brier,mean_continuous_risk,risk_at_50,risk_at_80,ftr_at_50,ftr_at_80,log_loss,auroc,auprc
environment_predictor_test,leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,identity_free_shared,U_scalar_platt,platt_logistic,150.0,0.7572340011147325,0.6598725530921195,0.09736144802261304,0.22398397820998373,0.7888860225243175,0.7621635457715183,0.7710590427627733,0.42666666666666664,0.45833333333333337,0.6384398204149851,0.6806445868945868,0.6797670191387777
environment_predictor_test,leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,identity_free_shared,U_scalar_platt,platt_logistic,150.0,0.6546599454849795,0.5572860846641202,0.0973738608208593,0.22487457170788236,0.7211698056434744,0.6421443598518677,0.6987342428924054,0.19999999999999996,0.30833333333333335,0.6412707586257358,0.6945859271835504,0.7664025382265438
environment_predictor_test,leave_environment_out,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,identity_free_shared,U_scalar_platt,platt_logistic,144.0,0.36933014112255147,0.15396036889134213,0.21536977223120934,0.18056798461950516,0.3819881561267653,0.32584481681763644,0.379803840546764,0.09722222222222221,0.1293103448275862,0.5407366299614442,0.5818815331010453,0.8716116069821724
environment_predictor_test,leave_environment_out,env__v~replogleweissman2022%5Fk562%5Fessential__v~k562__v~rna__v~essential%5Fgene%5Fscreen,,env__v~replogleweissman2022%5Fk562%5Fessential__v~k562__v~rna__v~essential%5Fgene%5Fscreen,replogle_k562_essential,identity_free_shared,U_scalar_platt,platt_logistic,279.0,0.6870706399209006,0.5452544987238894,0.14181614119701114,0.33379451496348456,0.7693404845219682,0.721635564307965,0.7557527011933866,0.4928571428571429,0.5401785714285714,0.9071788089222463,0.6324667852285805,0.5878098367764308
environment_predictor_test,leave_environment_out,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,identity_free_shared,U_scalar_platt,platt_logistic,99.0,0.8518995930529251,0.6756011572799809,0.17629843577294413,0.21197702872629212,0.8694694798346718,0.860474394549577,0.8606104751727083,0.6799999999999999,0.6875,0.6148922831136042,0.6116700201207244,0.3831158925555568
environment_predictor_test,leave_environment_out,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,identity_free_shared,U_scalar_platt,platt_logistic,60.0,0.5146266567252227,0.4082545912481034,0.10637206547711925,0.1539239548379481,0.5429724515573561,0.5282742673923163,0.5189363443109297,0.033333333333333326,0.04166666666666663,0.4933578508859618,0.52046783625731,0.9295584155080502
environment_predictor_test,leave_environment_out,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,identity_free_shared,U_scalar_platt,platt_logistic,114.0,0.5141825251448531,0.47955939323123536,0.03462313191361771,0.1092254744490291,0.5379503317239948,0.4990497300541837,0.5230875181414509,0.0,0.0,0.39344540184752935,,
environment_predictor_test,leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,identity_free_shared,U_scalar_raw,raw_normalized_uq,150.0,0.7971680464447951,0.7384547946655021,0.058713251779292985,0.2969663747534517,0.8490473596482163,0.772136736106805,0.8217435782108071,0.56,0.675,0.858426619954809,0.7140217140217141,0.4302111693031896
environment_predictor_test,leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,identity_free_shared,U_scalar_raw,raw_normalized_uq,150.0,0.7545686401625836,0.6598725530921195,0.09469608707046417,0.23966523076923077,0.7888860225243175,0.7636314947140762,0.772777684264909,0.43999999999999995,0.4666666666666667,0.6821914815253416,0.6731659544159544,0.6766754780359439
environment_predictor_test,leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,identity_free_shared,U_scalar_raw,raw_normalized_uq,150.0,0.6351697666298001,0.5572860846641202,0.07788368196567985,0.21208339683991262,0.7211698056434744,0.6374714375396495,0.6948385390844949,0.18666666666666665,0.30833333333333335,1.1713652180611127,0.7359932088285228,0.786019633502288
environment_predictor_test,leave_environment_out,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,identity_free_shared,U_scalar_raw,raw_normalized_uq,144.0,0.390436726012748,0.15396036889134213,0.23647635712140586,0.5018396805383049,0.3819881561267653,0.39046917419327043,0.398829784881717,0.13888888888888884,0.14655172413793105,3.2833333351819105,0.4909020518776616,0.8444804727036314
environment_predictor_test,leave_environment_out,env__v~replogleweissman2022%5Fk562%5Fessential__v~k562__v~rna__v~essential%5Fgene%5Fscreen,,env__v~replogleweissman2022%5Fk562%5Fessential__v~k562__v~rna__v~essential%5Fgene%5Fscreen,replogle_k562_essential,identity_free_shared,U_scalar_raw,raw_normalized_uq,279.0,0.7565612939173613,0.5452544987238894,0.21130679519347184,0.2685588761458801,0.7693404845219682,0.786073994235852,0.7869728884917304,0.5857142857142856,0.5892857142857143,0.7502023509935087,0.49819541793074584,0.5033158903337626
environment_predictor_test,leave_environment_out,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,identity_free_shared,U_scalar_raw,raw_normalized_uq,99.0,0.8345856619465231,0.6756011572799809,0.15898450466654213,0.2506764880640313,0.8694694798346718,0.811414247983635,0.8545089907602943,0.6,0.6875,1.330072299255829,0.631036217303823,0.3619226095830131
environment_predictor_test,leave_environment_out,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,identity_free_shared,U_scalar_raw,raw_normalized_uq,60.0,0.5342906416833667,0.4082545912481034,0.12603605043526328,0.2360402004135603,0.5429724515573561,0.5437293770829217,0.533050306083625,0.033333333333333326,0.04166666666666663,0.7196926970926231,0.5497076023391813,0.9286640459012678
environment_predictor_test,leave_environment_out,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,identity_free_shared,U_scalar_raw,raw_normalized_uq,114.0,0.5291786709551426,0.47955939323123536,0.04961927772390723,0.045944555230586305,0.5379503317239948,0.5224988087387168,0.5241294252706868,0.0,0.0,0.20341613647508672,,
environment_predictor_test,leave_predictor_out,,mean_matching,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,mean_matching,U,u_only_rf,50.0,0.7397026551461781,0.6787211852723664,0.0609814698738117,0.1888317917118765,0.7550347183999443,0.7524479188775937,0.754750249792928,0.16000000000000003,0.19999999999999996,0.7245107636781963,0.5,0.8
environment_predictor_test,leave_predictor_out,,strong_linear,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,strong_linear,U,u_only_rf,50.0,0.8114357262700316,0.7635040250906219,0.0479317011794097,0.18780490357586616,0.8420348245147903,0.8107210647199566,0.8252846226218337,0.6,0.675,0.557725936923347,0.6875,0.4336638564579741
environment_predictor_test,leave_predictor_out,,slim_string,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,slim_string,U,u_only_rf,50.0,0.933196511796623,0.8647232642119446,0.06847324758467843,0.16010308562954137,0.9500725360299139,0.9267487288601731,0.9442037498367266,0.92,0.95,0.506191527686317,0.8125,0.1625
environment_predictor_test,leave_predictor_out,,mean_matching,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,mean_matching,U,u_only_rf,50.0,0.7456517950796271,0.6026487313721755,0.14300306370745164,0.23092112162127254,0.7171454210472811,0.7334673359555294,0.7243946453737513,0.28,0.275,0.9573504305145257,0.5,0.76
environment_predictor_test,leave_predictor_out,,strong_linear,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,strong_linear,U,u_only_rf,50.0,0.7308220140383803,0.6720626208819184,0.05875939315646195,0.2441453707509262,0.777104416378988,0.7451250129857888,0.7738417499062267,0.4,0.475,0.6907753459797153,0.6960000000000001,0.7495217184026097
environment_predictor_test,leave_predictor_out,,slim_string,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,slim_string,U,u_only_rf,50.0,0.8753885611249159,0.7526906450990157,0.12269791602590019,0.21013650298342168,0.8724082301466838,0.906567240505031,0.8931337339120751,0.8,0.8,0.6237762376088345,0.45322245322245325,0.44420168061326654
environment_predictor_test,leave_predictor_out,,mean_matching,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,mean_matching,U,u_only_rf,50.0,0.5608431762150446,0.49741679541617256,0.06342638079887208,0.1732881090924985,0.6375559511946086,0.5546442620780124,0.6250904988531991,0.040000000000000036,0.17500000000000004,0.7229933298682875,0.5,0.82
environment_predictor_test,leave_predictor_out,,strong_linear,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,strong_linear,U,u_only_rf,50.0,0.6524666347436738,0.5717684312323943,0.08069820351127954,0.3397887381013519,0.6974066282979335,0.6353675058760624,0.6607915682817322,0.16000000000000003,0.17500000000000004,0.8954447429743003,0.7085714285714286,0.7952648032597439
environment_predictor_test,leave_predictor_out,,slim_string,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,slim_string,U,u_only_rf,50.0,0.7640743241927168,0.6714314665909243,0.09264285760179247,0.19169067597073342,0.8285468374378812,0.7931961162706266,0.8206807707020566,0.6799999999999999,0.75,0.5736596771815398,0.6424116424116424,0.5684247489611314
environment_predictor_test,leave_predictor_out,,mean_matching,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,mean_matching,U,u_only_rf,48.0,0.2936227641821872,0.12084042900526777,0.17278233517691943,0.12651218248004728,0.2966633274257894,0.23873245184711803,0.28705272241690594,0.04166666666666663,0.10256410256410253,0.4462945238508751,0.5930232558139534,0.8997423180037271
