predictor_family,source_environment_id,transfer_id,left_target_environment_id,right_target_environment_id,target_environment_id,metric,d_adj_deterministic_profile,rank_displacement_profile,source_mean_risk,target_mean_risk,source_target_mean_risk_change,profile_surface
bilinear_ridge,frangieh_melanoma_control,frangieh_melanoma_ifng->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_ifng,frangieh_melanoma_control,systema_centroid_accuracy,0.12587150970989355,0.08317178519198723,0.5018365472910928,0.5018365472910928,0.0,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_control,absolute_effect_rank_agreement,0.2217120701969187,0.1580450974390368,0.6757458566767401,0.7052675456386982,0.02952168896195806,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_control,delta_cosine,0.3247967894432541,0.228820188416148,0.7150591190191142,0.8025971734066382,0.08753805438752393,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_control,systema_centroid_accuracy,0.15025677651940278,0.10169030371050573,0.5017345168860321,0.49707512838825973,-0.004659388497772365,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_ifng,absolute_effect_rank_agreement,0.235588205285175,0.16977859402101822,0.6757458566767401,0.6757458566767401,0.0,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_ifng,delta_cosine,0.29595619494609393,0.203312587150971,0.7150591190191142,0.7150591190191142,0.0,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_ifng,systema_centroid_accuracy,0.10549943883277217,0.07320681563105805,0.5017345168860321,0.5017345168860321,0.0,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_ifng,frangieh_melanoma_control->frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_coculture,absolute_effect_rank_agreement,0.2217120701969187,0.1580450974390368,0.6757458566767401,0.6967490290984433,0.02100317242170313,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_ifng,frangieh_melanoma_control->frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_coculture,delta_cosine,0.3247967894432541,0.228820188416148,0.7150591190191142,0.8562066485046825,0.1411475294855683,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_ifng,frangieh_melanoma_control->frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_coculture,systema_centroid_accuracy,0.15025677651940278,0.10169030371050573,0.5017345168860321,0.4963269054178145,-0.00540761146821761,source_frozen_deterministic_full_depth
