source_environment_id,left_target_environment_id,right_target_environment_id,metric,cell_budget_label,model,status,n_labels,spearman,auroc_high_identifiable,mean_absolute_error,observed_positive_fraction,predicted_mean,outcome_not_used_as_feature
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,full,source_u_only,executed,243,-0.27218318929451135,0.3721717924400488,0.08118452183998023,0.9794238683127572,0.13800837425270443,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,full,ridge_source_features,executed,243,-0.04001020311136604,0.46240346836472024,0.08251944416063907,0.9794238683127572,0.13800234693938904,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,10,source_u_only,executed,243,-0.9709857307969577,0.0010161224766291825,0.03586227314929152,0.6090534979423868,0.01429378353261148,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,10,ridge_source_features,executed,243,-0.12900908405130956,0.43808427042406173,0.036128289731194155,0.6090534979423868,0.014242691076944048,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,20,source_u_only,executed,234,-0.33691346227917407,0.3502081963620425,0.03879877209314279,0.7307692307692307,0.03129086454702562,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,20,ridge_source_features,executed,234,-0.0815722440925085,0.47768281101614424,0.039318773082220426,0.7307692307692307,0.031206627267758857,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,40,source_u_only,executed,223,-0.02879737520993126,0.5137548262548263,0.034666946308752444,0.8834080717488789,0.043370244235789175,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,40,ridge_source_features,executed,223,-0.12539497376941322,0.46903153153153154,0.03613063606284883,0.8834080717488789,0.04307090960225656,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,80,source_u_only,executed,207,-0.19785016793453558,0.4285847647498133,0.04011169079578442,0.9082125603864735,0.05685049005471092,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,80,ridge_source_features,executed,207,-0.2577701411462076,0.39955190440627336,0.04172846168812723,0.9082125603864735,0.05658318635405147,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,160,source_u_only,executed,139,-0.2417430685344973,0.4275362318840579,0.04873524400706246,0.9280575539568345,0.06972294592774966,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,160,ridge_source_features,executed,139,-0.24301211966184225,0.39461697722567285,0.04807682343341659,0.9280575539568345,0.06997056178347442,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,full,source_u_only,executed,243,-0.6647827562262092,0.17253759653163525,0.04830810178549415,0.7901234567901234,0.0510173094066343,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,full,ridge_source_features,executed,243,0.11199497648977298,0.5054193198753556,0.04799521971495586,0.7901234567901234,0.0508784274373682,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,10,source_u_only,executed,243,-0.0779044284141416,0.47324210811543155,0.018183749014502006,0.49382716049382713,-7.380656481420809e-05,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,10,ridge_source_features,executed,243,-0.012236960647408411,0.5027774014361198,0.018365430786613603,0.49382716049382713,-9.166656277267225e-05,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,20,source_u_only,executed,235,-0.05995684575478088,0.4578444154715341,0.018159097661229435,0.4723404255319149,0.0006257087278845844,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,20,ridge_source_features,executed,235,-0.04436878608948727,0.45154280747501085,0.01834737578674718,0.4723404255319149,0.0006199094085505693,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,40,source_u_only,executed,226,-0.022168856314893508,0.4660505912757459,0.018493911902402693,0.6194690265486725,0.007896824318405684,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,40,ridge_source_features,executed,226,-0.12867646485517134,0.40919414206280835,0.019020235532975185,0.6194690265486725,0.007871615312241762,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,80,source_u_only,executed,208,-0.2540460006394398,0.38711168639053256,0.022423017622317833,0.6826923076923077,0.01482029681004559,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,80,ridge_source_features,executed,208,0.006129551365247391,0.4740199704142012,0.02232468366401911,0.6826923076923077,0.014749868312621971,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,160,source_u_only,executed,139,-0.7176951606416729,0.18074534161490682,0.024107248170384763,0.7482014388489209,0.019469398375079293,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,160,ridge_source_features,executed,139,-0.3584029670673399,0.34720496894409936,0.024651097930249808,0.7482014388489209,0.019498897028542548,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,full,source_u_only,executed,243,-0.18166175117796274,0.4494648421623087,0.04001808410655281,0.8271604938271605,0.04481302946788987,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,full,ridge_source_features,executed,243,-0.15882985719363124,0.45373255656415123,0.040792709198511995,0.8271604938271605,0.04472879859861071,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,10,source_u_only,executed,243,-0.06660957421941482,0.45644221650182903,0.04450757895912144,0.757201646090535,0.03650420702291014,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,10,ridge_source_features,executed,243,0.04272315026468417,0.5071805988348462,0.044173642087377195,0.757201646090535,0.036439846504442555,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,20,source_u_only,executed,235,-0.13394413804551628,0.4671157467767637,0.039616795983572727,0.7319148936170212,0.02765845678939603,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,20,ridge_source_features,executed,235,-0.21511702364239108,0.4058380414312618,0.040495017473486626,0.7319148936170212,0.027633526945626107,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,40,source_u_only,executed,226,0.06239602416956643,0.5206359151068995,0.03383853136997989,0.8185840707964602,0.036023259236194906,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,40,ridge_source_features,executed,226,0.007468456712137975,0.48555094369175344,0.03433420046831497,0.8185840707964602,0.0359869482237565,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,80,source_u_only,executed,208,0.0517114636879285,0.5302329881656804,0.039884835456402076,0.9038461538461539,0.05184667291002733,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,80,ridge_source_features,executed,208,0.05629545864453416,0.521819526627219,0.040272599315821535,0.9038461538461539,0.0517681099164904,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,160,source_u_only,executed,139,-0.07699654920911869,0.4530020703933747,0.05858494551362548,0.9784172661870504,0.09278314719675089,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,160,ridge_source_features,executed,139,-0.014609727679137227,0.47639751552795034,0.05931344969312649,0.9784172661870504,0.09304312354720942,True
