environment_id,predictor,split_family,fold,n_predictions,n_biological_instances,reliable_rate
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_matching,dataset_heldout_split,2,358,358,0.1871508379888268
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_matching,dataset_heldout_split,3,360,360,0.1527777777777778
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_matching,dataset_heldout_split,4,362,362,0.1574585635359116
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_matching,random_split,0,21,21,0.42857142857142855
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_matching,random_split,1,20,20,0.45
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_matching,random_split,2,24,24,0.6666666666666666
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_matching,random_split,3,22,22,0.6363636363636364
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_matching,random_split,4,25,25,0.6
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_matching,unseen_perturbation_split,0,7,7,0.14285714285714285
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_matching,unseen_perturbation_split,1,5,5,0.4
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_matching,unseen_perturbation_split,2,11,11,0.36363636363636365
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_matching,unseen_perturbation_split,3,4,4,0.75
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_matching,unseen_perturbation_split,4,9,9,0.1111111111111111
env__replogleweissman2022-rpe1__rpe1__rna__baseline,ridge,dataset_heldout_split,0,364,364,0.016483516483516484
env__replogleweissman2022-rpe1__rpe1__rna__baseline,ridge,dataset_heldout_split,1,353,353,0.0169971671388102
env__replogleweissman2022-rpe1__rpe1__rna__baseline,ridge,dataset_heldout_split,2,358,358,0.0111731843575419
env__replogleweissman2022-rpe1__rpe1__rna__baseline,ridge,dataset_heldout_split,3,360,360,0.008333333333333333
env__replogleweissman2022-rpe1__rpe1__rna__baseline,ridge,dataset_heldout_split,4,362,362,0.008287292817679558
env__replogleweissman2022-rpe1__rpe1__rna__baseline,ridge,random_split,0,21,21,0.5714285714285714
env__replogleweissman2022-rpe1__rpe1__rna__baseline,ridge,random_split,1,20,20,0.6
env__replogleweissman2022-rpe1__rpe1__rna__baseline,ridge,random_split,2,24,24,0.7083333333333334
env__replogleweissman2022-rpe1__rpe1__rna__baseline,ridge,random_split,3,22,22,0.7727272727272727
env__replogleweissman2022-rpe1__rpe1__rna__baseline,ridge,random_split,4,25,25,0.56
env__replogleweissman2022-rpe1__rpe1__rna__baseline,ridge,unseen_perturbation_split,0,7,7,0.14285714285714285
env__replogleweissman2022-rpe1__rpe1__rna__baseline,ridge,unseen_perturbation_split,1,5,5,0.4
env__replogleweissman2022-rpe1__rpe1__rna__baseline,ridge,unseen_perturbation_split,2,11,11,0.36363636363636365
env__replogleweissman2022-rpe1__rpe1__rna__baseline,ridge,unseen_perturbation_split,3,4,4,0.75
env__replogleweissman2022-rpe1__rpe1__rna__baseline,ridge,unseen_perturbation_split,4,9,9,0.1111111111111111
