split_seed,comparison,left_environment_id,right_environment_id,predictor,n_shared_perturbations,n_comparable_risk_pairs,n_risk_inversions,risk_inversion_rate,confidence_tracking_rate,n_confidence_comparable_inversions,risk_rank_spearman,risk_rank_kendall,method,response_program_shift_mean,response_program_shift_median,response_magnitude_change_mean,response_magnitude_change_median,response_shift_risk_change_spearman,n_response_shift_observations,response_genes,matched_perturbation_control,risk_and_confidence_outcomes_used_for_evaluation_only,response_program_is_descriptive
20260917,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,10,45,13,0.28888888888888886,0.0,0,0.5636363636363636,0.4222222222222222,u_only_rf,0.8032169034092342,0.8315556335217402,0.05641644951948042,0.048031030064346766,0.7575757575757575,10,8229,shared perturbation_label,1,1
20260917,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,slim_string,10,45,12,0.26666666666666666,0.25,11,0.6363636363636362,0.4666666666666666,ptl_rf,0.8032169034092342,0.8315556335217402,0.05641644951948042,0.048031030064346766,0.43030303030303024,10,8229,shared perturbation_label,1,1
20260917,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,slim_string,10,45,12,0.26666666666666666,0.0,11,0.6363636363636362,0.4666666666666666,raw_normalized_uq,0.8032169034092342,0.8315556335217402,0.05641644951948042,0.048031030064346766,0.43030303030303024,10,8229,shared perturbation_label,1,1
20260917,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,slim_string,10,45,12,0.26666666666666666,0.3333333333333333,11,0.6363636363636362,0.4666666666666666,u_only_rf,0.8032169034092342,0.8315556335217402,0.05641644951948042,0.048031030064346766,0.43030303030303024,10,8229,shared perturbation_label,1,1
20260917,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,strong_linear,10,45,14,0.3111111111111111,0.14285714285714285,13,0.5151515151515151,0.37777777777777777,ptl_rf,0.8032169034092342,0.8315556335217402,0.05641644951948042,0.048031030064346766,0.5878787878787878,10,8229,shared perturbation_label,1,1
20260917,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,strong_linear,10,45,14,0.3111111111111111,0.07142857142857142,13,0.5151515151515151,0.37777777777777777,raw_normalized_uq,0.8032169034092342,0.8315556335217402,0.05641644951948042,0.048031030064346766,0.5878787878787878,10,8229,shared perturbation_label,1,1
20260917,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,strong_linear,10,45,14,0.3111111111111111,0.14285714285714285,13,0.5151515151515151,0.37777777777777777,u_only_rf,0.8032169034092342,0.8315556335217402,0.05641644951948042,0.048031030064346766,0.5878787878787878,10,8229,shared perturbation_label,1,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,mean_matching,14,91,26,0.2857142857142857,0.0,0,0.5516483516483517,0.42857142857142855,ptl_rf,0.8581475316172502,0.8847223035434733,0.10789868739529186,0.10751107496329049,0.04175824175824176,14,8229,shared perturbation_label,1,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,mean_matching,14,91,26,0.2857142857142857,0.0,0,0.5516483516483517,0.42857142857142855,raw_normalized_uq,0.8581475316172502,0.8847223035434733,0.10789868739529186,0.10751107496329049,0.04175824175824176,14,8229,shared perturbation_label,1,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,mean_matching,14,91,26,0.2857142857142857,0.0,0,0.5516483516483517,0.42857142857142855,u_only_rf,0.8581475316172502,0.8847223035434733,0.10789868739529186,0.10751107496329049,0.04175824175824176,14,8229,shared perturbation_label,1,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,slim_string,14,91,37,0.4065934065934066,0.3783783783783784,37,0.26593406593406593,0.18681318681318684,ptl_rf,0.8581475316172502,0.8847223035434733,0.10789868739529186,0.10751107496329049,-0.1956043956043956,14,8229,shared perturbation_label,1,1
20260917,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,slim_string,14,91,37,0.4065934065934066,0.2702702702702703,37,0.26593406593406593,0.18681318681318684,raw_normalized_uq,0.8581475316172502,0.8847223035434733,0.10789868739529186,0.10751107496329049,-0.1956043956043956,14,8229,shared perturbation_label,1,1
