scenario,environment_id,ptl_rf,u_only_rf,split_seed,delta_aurc_ptl_minus_u_only
leave_environment_out,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,0.3387879367875678,0.3148815875841749,20260917,0.023906349203392907
leave_environment_out,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.8380812683084008,0.920334665918104,20260917,-0.08225339760970318
leave_environment_out,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,0.5496387499932108,0.5585392986890004,20260917,-0.0089005486957896
leave_environment_out,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,0.5062875078883611,0.517119564759845,20260917,-0.01083205687148392
leave_environment_out,env__v~xucao2023__v~hek293__v~rna__v~baseline,0.6619332565549936,0.6845704657056303,20260917,-0.022637209150636717
leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,0.7879336668152744,0.784806364747734,20260927,0.003127302067540416
leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,0.6634440564764493,0.6819927793910824,20260927,-0.018548722914633053
leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,0.6692186734955928,0.721146492626998,20260927,-0.051927819131405206
leave_environment_out,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,0.3099229976195367,0.2737300830284519,20260927,0.03619291459108476
leave_environment_out,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.872472691797473,0.8911586497697352,20260927,-0.018685957972262246
leave_environment_out,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,0.5506036890736786,0.5327130659679348,20260927,0.017890623105743853
leave_environment_out,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,0.5157416531513698,0.5157643720981916,20260927,-2.2718946821820296e-05
leave_environment_out,env__v~xucao2023__v~hek293__v~rna__v~baseline,0.6763086413277698,0.6790097908717041,20260927,-0.0027011495439343003
leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,0.7721680910762825,0.8306448191926865,20261007,-0.05847672811640403
leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,0.671835859691714,0.6875487689307446,20261007,-0.01571290923903057
leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,0.6864140204990083,0.7062957186251684,20261007,-0.01988169812616003
leave_environment_out,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,0.4181189989207883,0.3611259633224437,20261007,0.05699303559834462
leave_environment_out,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.8982709699999071,0.8975883864766837,20261007,0.0006825835232233679
leave_environment_out,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,0.5772386973275239,0.5694722879546733,20261007,0.007766409372850558
leave_environment_out,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,0.4991040454758013,0.5097348743183092,20261007,-0.010630828842507933
leave_environment_out,env__v~xucao2023__v~hek293__v~rna__v~baseline,0.6324711931530472,0.6380267327396677,20261007,-0.005555539586620473
leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,0.821865488443683,0.831281565891148,20261017,-0.009416077447464977
leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,0.6930448852733264,0.7156867525442108,20261017,-0.022641867270884353
leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,0.7096443967501163,0.7352259166104689,20261017,-0.02558151986035262
leave_environment_out,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,0.4020700395474449,0.3731305034405519,20261017,0.028939536106893038
leave_environment_out,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.8475960566636199,0.8963467191189199,20261017,-0.04875066245530002
leave_environment_out,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,0.4933492383272007,0.4916666128479424,20261017,0.0016826254792582929
