source_environment_id,left_target_environment_id,right_target_environment_id,metric,cell_budget_label,model,status,n_labels,spearman,auroc_high_identifiable,calibration_brier,calibration_threshold,calibration_status,mean_absolute_error,source_only_features,target_outcome_used_only_for_evaluation,dataset,dataset_split,feature_set,source_dataset,target_dataset,reason
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,160,linear_source_features,executed,186,-0.1374570606950704,0.4395883917215863,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.039848877629002764,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,20,source_u_only,executed,186,-0.020115735646811746,0.5005202913631633,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.03935306723015378,uq_cosine_disagreement,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,20,linear_source_features,executed,186,-0.07120092051429557,0.4799398774424789,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.04005582766374794,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,40,source_u_only,executed,186,-0.18012510682398553,0.41380506416926816,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.03699652713845204,uq_cosine_disagreement,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,40,linear_source_features,executed,186,-0.17382547425592337,0.400624349635796,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.038158759248774106,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,80,source_u_only,executed,186,-0.7472110431876615,0.14857208925887389,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.04223057206003266,uq_cosine_disagreement,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,80,linear_source_features,executed,186,0.08683250593974183,0.5630708752456932,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.04194208571310651,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,full,source_u_only,executed,186,-0.27869084817518275,0.3889466990403515,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.03030114005390102,uq_cosine_disagreement,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,full,linear_source_features,executed,186,-0.06841955578417758,0.4609781477627471,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.030116215181841568,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,10,source_u_only,executed,139,-0.24694941099971332,0.4043478260869566,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.022286775692513024,uq_cosine_disagreement,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,10,linear_source_features,executed,139,-0.19583467854208664,0.4260869565217391,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.02282588878756006,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,160,source_u_only,executed,139,-0.12139600716491504,0.48012422360248447,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.03588960496068258,uq_cosine_disagreement,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,160,linear_source_features,executed,139,-0.03892518932578403,0.5366459627329192,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.03573479859097979,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20,source_u_only,executed,139,-0.916734066466681,0.05921325051759834,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.026164715186883774,uq_cosine_disagreement,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20,linear_source_features,executed,139,-0.04900380381054384,0.46873706004140786,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.02693233172982163,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,40,source_u_only,executed,139,-0.13135616888398413,0.3751552795031056,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.0284844140978527,uq_cosine_disagreement,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,40,linear_source_features,executed,139,0.004758952360280012,0.4817805383022774,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.028330776756432374,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
