claim_id,claim_family,dataset,source_environment_id,left_target_environment_id,right_target_environment_id,metric,metric_label,evidence_tier,observed_D,observed_D_ci_low,observed_D_ci_high,measurement_identifiable,measurement_identifiable_ci_low,measurement_identifiable_ci_high,joint_identifiable,stable_fraction_both,status,availability,provenance
frangieh_transport_24,frangieh_transport,FrangiehIzar2021_RNA,frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,Delta cosine,1,0.3186633933442444,0.2867425895617385,0.3538284233496999,0.0995269958174213,0.0699163484269867,0.1320085470085469,0.066340943807965,0.7602473176941262,available,canonical_fullsize_claim_lock,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
frangieh_transport_25,frangieh_transport,FrangiehIzar2021_RNA,frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,Systema centroid,1,0.0961434599156118,0.0833489773296145,0.1113242419366373,0.0249938407351784,0.0160811342344275,0.0345153489952084,0.0219000706214689,0.928520346134592,available,canonical_fullsize_claim_lock,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
frangieh_transport_26,frangieh_transport,FrangiehIzar2021_RNA,frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,Systema centroid,1,0.1292464601445288,0.1064244708558013,0.1559384285242654,0.0484046256556986,0.0277044128975459,0.0720903947030556,0.0461284252228458,0.9202523751879976,available,canonical_fullsize_claim_lock,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
frangieh_transport_27,frangieh_transport,FrangiehIzar2021_RNA,frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,Systema centroid,1,0.1127473540643753,0.0917614566284779,0.1381523913438807,0.0372557101291143,0.0194485360974722,0.0582389979996362,0.0348971767594108,0.92675031823968,available,canonical_fullsize_claim_lock,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
nadig_replication_28,nadig_replication,NadigOConner2024,nadig_hepg2,nadig_hepg2,nadig_jurkat,absolute_effect_rank_agreement,Absolute-effect rank,1,0.4778705992444778,0.4646888931807573,0.4901701218124254,0.141977271107371,0.1253143860750326,0.1601896191579814,0.0828316716329716,,available,canonical_nadig_replication,artifacts/manifests/formal_v2_claim_lock_replication_nadig_fullsize.csv
nadig_replication_29,nadig_replication,NadigOConner2024,nadig_hepg2,nadig_hepg2,nadig_jurkat,delta_cosine,Delta cosine,1,0.4656016665861941,0.44564531212997,0.4825075931584549,0.1767427487348567,0.1569090384451787,0.1957933873419002,0.1522037409382177,,available,canonical_nadig_replication,artifacts/manifests/formal_v2_claim_lock_replication_nadig_fullsize.csv
nadig_replication_30,nadig_replication,NadigOConner2024,nadig_hepg2,nadig_hepg2,nadig_jurkat,systema_centroid_accuracy,Systema centroid,1,0.4994588314008429,0.4760643383663155,0.5205937436053075,0.1385779985790849,0.1107431035037741,0.1613948448144647,0.1106092938305156,,available,canonical_nadig_replication,artifacts/manifests/formal_v2_claim_lock_replication_nadig_fullsize.csv
nadig_replication_31,nadig_replication,NadigOConner2024,nadig_jurkat,nadig_hepg2,nadig_jurkat,absolute_effect_rank_agreement,Absolute-effect rank,1,0.4173201894093546,0.4031854305625489,0.4317303233156523,0.116253833826515,0.0984938559219738,0.1335948345829568,0.0455823293235018,,available,canonical_nadig_replication,artifacts/manifests/formal_v2_claim_lock_replication_nadig_fullsize.csv
nadig_replication_32,nadig_replication,NadigOConner2024,nadig_jurkat,nadig_hepg2,nadig_jurkat,delta_cosine,Delta cosine,1,0.4623728879983261,0.4446902554658095,0.4790122829828179,0.1745496491397486,0.1556145342594572,0.1941744322662674,0.1441019532983392,,available,canonical_nadig_replication,artifacts/manifests/formal_v2_claim_lock_replication_nadig_fullsize.csv
nadig_replication_33,nadig_replication,NadigOConner2024,nadig_jurkat,nadig_hepg2,nadig_jurkat,systema_centroid_accuracy,Systema centroid,1,0.5020798759458397,0.4716969042215892,0.533061083252286,0.1381028871821047,0.1086929363508234,0.167597880468396,0.1040591781799871,,available,canonical_nadig_replication,artifacts/manifests/formal_v2_claim_lock_replication_nadig_fullsize.csv
