split_seed,environment_id,environment_key,predictor,method,n_rows,systema_centroid_aurc,systema_mean_risk,primary_delta_cosine_mean_risk,metric_entrypoint,prediction_contract,ptl_scores_reused_without_refit,target_outcomes_used_for_score_construction
20260907,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,slim_string,ptl_rf,33,0.4462670570495277,0.48200757575757575,0.9075958093704695,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,slim_string,u_only_rf,33,0.46473498857562934,0.48200757575757575,0.9075958093704695,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,strong_linear,ptl_rf,33,0.5959077347011327,0.5009469696969697,0.8463027235572744,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,strong_linear,u_only_rf,33,0.4582020595784985,0.5009469696969697,0.8463027235572744,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,mean_matching,ptl_rf,20,0.4240469950676484,0.5,0.5409119988355071,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,mean_matching,u_only_rf,20,0.4240469950676484,0.5,0.5409119988355071,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,slim_string,ptl_rf,20,0.5682691419958203,0.5052631578947369,0.6418053687470431,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,slim_string,u_only_rf,20,0.47081498701314983,0.5052631578947369,0.6418053687470431,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,strong_linear,ptl_rf,20,0.5447141139869671,0.48684210526315785,0.5535458353021154,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,strong_linear,u_only_rf,20,0.5691441257830577,0.48684210526315785,0.5535458353021154,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,mean_matching,ptl_rf,38,0.5192030597838543,0.5,0.49531657812777313,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,mean_matching,u_only_rf,38,0.5192030597838543,0.5,0.49531657812777313,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,slim_string,ptl_rf,38,0.5322866608552089,0.5298719772403983,0.6242138815418447,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,slim_string,u_only_rf,38,0.5810210862871459,0.5298719772403983,0.6242138815418447,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,strong_linear,ptl_rf,38,0.4647392126827555,0.49715504978662883,0.5176345632740859,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,strong_linear,u_only_rf,38,0.49342215143661433,0.49715504978662883,0.5176345632740859,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~xucao2023__v~hek293__v~rna__v~baseline,xu_he293,mean_matching,ptl_rf,38,0.4597285323971228,0.5,0.6487095376968558,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~xucao2023__v~hek293__v~rna__v~baseline,xu_he293,mean_matching,u_only_rf,38,0.4597285323971228,0.5,0.6487095376968558,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~xucao2023__v~hek293__v~rna__v~baseline,xu_he293,slim_string,ptl_rf,38,0.3935808763390385,0.48719772403982936,0.815310352521054,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~xucao2023__v~hek293__v~rna__v~baseline,xu_he293,slim_string,u_only_rf,38,0.5228110978058824,0.48719772403982936,0.815310352521054,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~xucao2023__v~hek293__v~rna__v~baseline,xu_he293,strong_linear,ptl_rf,38,0.46730212394790216,0.5014224751066856,0.7079045683409456,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~xucao2023__v~hek293__v~rna__v~baseline,xu_he293,strong_linear,u_only_rf,38,0.4561696831652558,0.5014224751066856,0.7079045683409456,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
