method,metric,estimate,ci_lower,ci_upper,n_resamples,n_valid,confidence,aggregation_level,baseline_method,resample_level,predictor,environment_id,split_family
ptl_rf,risk_at_50,0.3462322778342131,0.31666043230503643,0.38128226195618425,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_rf,risk_at_80,0.3588667867238712,0.33016866772188125,0.39193773863662945,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_rf,spearman_predicted_risk_realized_risk,0.2584955375962922,0.20350616781264355,0.3086966073345644,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_rf_full_id,auprc,0.6261661989150901,0.558352333907266,0.6975082953413313,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_rf_full_id,aurc,0.3473591854479022,0.3181787887191278,0.38229025999284566,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_rf_full_id,auroc,0.6670264922340263,0.622036586724947,0.7100251657279691,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_rf_full_id,brier,0.16929482440214322,0.15455958454115754,0.18447194628455665,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_rf_full_id,excess_aurc,0.05028240266156613,0.04469895742197396,0.055349725093153626,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_rf_full_id,ftr_at_50,0.45226594856122676,0.38875851388835314,0.5104512192445883,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_rf_full_id,ftr_at_80,0.5023100258615386,0.4479104843398183,0.5527128109955198,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_rf_full_id,log_loss,0.519540401397107,0.47460215564785824,0.5660634758449707,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_rf_full_id,n,851.3462962962964,702.575,1021.650925925926,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_rf_full_id,risk_at_50,0.3458956635274464,0.3157533994050097,0.381494535735184,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_rf_full_id,risk_at_80,0.3589362691166864,0.33039934111549846,0.3919972187516476,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_rf_full_id,spearman_predicted_risk_realized_risk,0.2626146083963917,0.205185404767395,0.3161088114185289,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
raw_normalized_uq,auprc,0.4582823482843489,0.40828200614847954,0.5124507919805885,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
raw_normalized_uq,aurc,0.37805063055545207,0.3490711159459642,0.4086790010879064,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
raw_normalized_uq,auroc,0.44123662073392056,0.4073274920749045,0.47436111919353596,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
raw_normalized_uq,brier,0.36289834167605844,0.33500135750199317,0.39549764327398135,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
raw_normalized_uq,excess_aurc,0.08097384776911606,0.0754304280344764,0.08656824277129076,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
raw_normalized_uq,ftr_at_50,0.5703073664582528,0.5308561432217911,0.6221782786541378,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
raw_normalized_uq,ftr_at_80,0.5485815978881208,0.5069280449659171,0.5994590306719224,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
raw_normalized_uq,log_loss,1.2431854919339171,1.1345592101998643,1.3971973082349234,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
raw_normalized_uq,n,851.3462962962964,702.575,1021.650925925926,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
raw_normalized_uq,risk_at_50,0.37387643967862355,0.3450777184740195,0.4047990696678402,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
raw_normalized_uq,risk_at_80,0.36865439009503403,0.3407057528003108,0.39950506575621303,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
raw_normalized_uq,spearman_predicted_risk_realized_risk,-0.10314833293450562,-0.15170709931548498,-0.05035289778953243,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
support_novelty_only,auprc,0.5047983335617376,0.4458701721144984,0.5654942794760843,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
