prediction_id,environment_id,predictor,uq_quantile,fidelity_delta_cosine,support_cells,perturbation_novelty
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cldn6__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.5076951,80,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ubash3b__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.4108656,178,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__arrdc3__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.32623872,55,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__elmsan1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,-0.21030016,127,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ptpn12-ubash3a__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.4429227,36,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__col2a1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.27899098,63,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__mapk1-prtg__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.2539884,61,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__klf1-map2k6__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,-0.10703384,34,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__set-klf1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.15961252,72,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ets2-igdcc3__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.30516312,44,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__zbtb25__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.24700406,77,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__csrnp1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,-0.2626887,70,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__snai1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.4248167,57,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ubash3b-ubash3a__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.47792986,55,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__nit1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.45755386,23,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__spi1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.60099417,70,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cbl-ptpn12__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.4168462,51,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__foxa3__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.55015576,61,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ubash3b-zbtb25__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.4772296,40,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ubash3b-ptpn12__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.41615215,33,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__foxl2__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.46316952,98,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ubash3a__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.3506385,105,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ptpn1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.48157242,38,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ptpn12-zbtb25__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.44372895,44,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__map7d1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,-0.15650636,89,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__map2k3__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,-0.32465714,75,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__klf1-bak1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,-0.1120763,54,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__igdcc3-zbtb25__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.45041287,13,0.3779644730092272
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cebpe-cnn1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.48410106,37,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__mapk1-tgfbr2__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.23530802,55,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__irf1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.26153457,61,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__mapk1-ikzf3__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.4631757,32,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ikzf3__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.6028977,90,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cnn1-mapk1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.3353465,58,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ptpn12__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.25829628,52,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__prtg__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.42630818,76,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__fosb__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.22423135,73,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__tgfbr2-c19orf26__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.3631903,52,0.35355339059327373
