aggregation_level,predictor,environment_id,split_family,method,n,aurc,excess_aurc,risk_at_50,risk_at_80,ftr_at_50,ftr_at_80,brier,log_loss,auroc,auprc,spearman_predicted_risk_realized_risk
predictor_environment_split,mean_global,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,unseen_perturbation_split,gbdt_full_id,36.0,0.47021212225446757,0.09140170042904178,0.46723576314980164,0.46810005268419225,0.5555555555555556,0.5517241379310345,0.2585456767654506,0.710799306048436,0.44598765432098764,0.4822689977046139,-0.17489827658938167
predictor_environment_split,mean_global,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,unseen_perturbation_split,ptl_context,36.0,0.4950780729042783,0.11626765107885251,0.4966224922035407,0.4652794097140753,0.6666666666666667,0.5517241379310345,0.30766371053040964,0.8247976832110093,0.2824074074074074,0.38527832537066187,-0.47999677235228094
predictor_environment_split,mean_global,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,unseen_perturbation_split,ptl_full_id,36.0,0.4963781767784398,0.11756775495301403,0.5028274052634111,0.45942615997447667,0.7222222222222222,0.5172413793103448,0.29597237890736083,0.7947586598977519,0.2824074074074074,0.38356068799722426,-0.5019380069045498
predictor_environment_split,mean_global,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,unseen_perturbation_split,ptl_no_context,36.0,0.4906520226003028,0.11184160077487698,0.4869450528899001,0.4652794097140753,0.6111111111111112,0.5517241379310345,0.2852341535763662,0.7692486197661357,0.29475308641975306,0.39557700280206676,-0.44643959009586986
predictor_environment_split,mean_matching,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,dataset_heldout_split,raw_normalized_uq,1829.0,0.34397258524953467,0.08185650855619053,0.33466739579042815,0.33488593557709573,0.9092896174863387,0.9132513661202186,0.151324050789884,0.511387910662985,0.5065446621765763,0.08664273134535129,0.072846279477549
predictor_environment_split,mean_matching,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,dataset_heldout_split,platt_logistic,1829.0,0.3491114606583585,0.08699538396501438,0.3383982673215507,0.33868506649388047,0.907103825136612,0.912568306010929,0.11727369129110964,0.4120862965732797,0.5262015055008685,0.09079705255761086,-0.005228697725722003
predictor_environment_split,mean_matching,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,dataset_heldout_split,isotonic,1829.0,0.3540828642066779,0.09196678751333376,0.3473877387408223,0.34139804953522057,0.9202185792349726,0.9139344262295082,0.10007810287929084,0.3667067546196571,0.4865011580775912,0.08431353944858694,-0.08479619091871742
predictor_environment_split,mean_matching,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,dataset_heldout_split,support_novelty_only,1829.0,0.3355173426021533,0.07340126590880919,0.3373081474694108,0.33858358618386486,0.9103825136612022,0.912568306010929,0.123121534138549,0.4256647200236948,0.5262281717611922,0.09259277905022209,0.02137142945476614
predictor_environment_split,mean_matching,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,dataset_heldout_split,ptl_rf,1829.0,0.3383985851846938,0.07628250849134965,0.34055753488703044,0.33619334036130505,0.9158469945355191,0.9159836065573771,0.11886569489411913,0.4140072829266516,0.5027047206899704,0.08753981027142571,0.020098947099892354
predictor_environment_split,mean_matching,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,dataset_heldout_split,ptl_rf_full_id,1829.0,0.3453785932130532,0.08326251651970906,0.33716610627747623,0.3340250661492009,0.9158469945355191,0.9132513661202186,0.07875783482248748,0.29370514766937755,0.4898744400085332,0.08278680058981457,0.027680599707479853
