aggregation_level,predictor,environment_id,split_family,method,n,aurc,excess_aurc,risk_at_50,risk_at_80,ftr_at_50,ftr_at_80,brier,log_loss,auroc,auprc,spearman_continuous_risk
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,dataset_heldout_split,ptl_rf,3258.0,0.4124169856967624,0.0705667295880662,0.4204687643222749,0.41859957223592287,0.4996930632289748,0.4902186421173763,0.23645417485551323,0.6608700280650566,0.5647887499400721,0.5436564683796309,0.09307799459752236
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,dataset_heldout_split,gbdt_uncalibrated,3258.0,0.4214791991624882,0.07962894305379203,0.42398032370400707,0.4224765883356865,0.5193370165745856,0.5166858457997698,0.24882305230307852,0.6886312117202603,0.5048761483976887,0.489247389580291,-0.0011445287188486745
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,dataset_heldout_split,ptl_context,3258.0,0.4221587840025135,0.08030852789381732,0.42409726250660607,0.4218200445190828,0.5168815224063843,0.5093977752205601,0.2491471346800257,0.6890011195729066,0.5139044030295011,0.4932280265273253,0.0023871580056906037
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,dataset_heldout_split,ptl_full,3258.0,0.422044244039262,0.08019398793056581,0.4214625445154138,0.4216735060121203,0.5070595457335789,0.5078634445723054,0.24656583720373387,0.6851374458050485,0.5241368779437806,0.49075715295666666,0.018822622602911735
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,dataset_heldout_split,ptl_no_id,3258.0,0.4212006043848219,0.07935034827612569,0.4204610684229496,0.422433491136158,0.516267648864334,0.5174530111238972,0.26386652720740894,0.7199664635632872,0.5024465679155702,0.4843865914839917,0.01753109180783407
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,random_split,raw_normalized_uq,181.0,0.4204539231479899,0.0823171721605146,0.4150376467566405,0.41462198818937457,0.48351648351648346,0.46896551724137936,0.5194314966466602,1.7226212011315831,0.41486183719193426,0.5135181370982038,-0.13710966749640782
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,random_split,platt_logistic,181.0,0.41784335505869474,0.07970660407121943,0.4102117135650018,0.41282252079791165,0.4505494505494505,0.45517241379310347,0.35216049197921984,0.9263385265725436,0.42033856111526013,0.5181513019639667,-0.11188553619492844
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,random_split,isotonic,181.0,0.4153510883683512,0.07721433738087591,0.4150491336688072,0.4151339222588737,0.5164835164835164,0.46896551724137936,0.364326046093953,0.9601365706016375,0.4001742593975604,0.5188773342885133,-0.13416712201242587
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,random_split,support_novelty_only,181.0,0.39260864314672417,0.05447189215924886,0.39196518878196623,0.4028305928969499,0.3076923076923077,0.37241379310344824,0.2554796478505005,0.703594162793788,0.6470624844411252,0.6789813343289877,0.26142108352053106
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,random_split,ptl_rf,181.0,0.3978339578685348,0.059697206881059506,0.3929572364233516,0.4025402218946416,0.3516483516483516,0.38620689655172413,0.2384663785785512,0.6695895942473099,0.5921707742096092,0.6095610321980689,0.21524497601845666
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,random_split,gbdt_uncalibrated,181.0,0.4042867230395607,0.06614997205208539,0.4032420381944586,0.4031815848160728,0.4065934065934066,0.3793103448275862,0.2501681733687529,0.691849255858829,0.5332959920338561,0.5655190295141918,0.1124076659988262
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,random_split,ptl_context,181.0,0.3950594438580094,0.056922692870534086,0.39401557616848537,0.4019182823598385,0.3296703296703297,0.37241379310344824,0.31439811663886363,0.8324158004595832,0.6156957928802588,0.6495185802761332,0.2139740554105195
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,random_split,ptl_full,181.0,0.40394957896665035,0.06581282797917504,0.3996658909728157,0.4032673323559093,0.41758241758241754,0.38620689655172413,0.26410345439863214,0.7215237259737847,0.5332959920338561,0.5737767137776726,0.11747718211806608
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,random_split,ptl_no_id,181.0,0.3915778287181034,0.05344107773062812,0.39756111517180126,0.4021641502036424,0.3626373626373627,0.37241379310344824,0.34562762787284745,0.9126518858958664,0.6225416977844163,0.669445071558427,0.22654362212373258
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,unseen_perturbation_split,raw_normalized_uq,247.0,0.43953909000466695,0.07658891306035526,0.44192984211141234,0.4392763209961957,0.6209677419354839,0.595959595959596,0.402057400221384,1.7282838679073655,0.4581647788565265,0.393246614324486,-0.09356733994400149
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,unseen_perturbation_split,platt_logistic,247.0,0.44138980016333634,0.07843962321902465,0.44272688876780225,0.43665467344596043,0.6370967741935484,0.5808080808080809,0.28102120573885797,0.773781552500233,0.457153451995685,0.3914817894660759,-0.09227966120591073
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,unseen_perturbation_split,isotonic,247.0,0.4295644325643765,0.06661425562006479,0.43015474807367765,0.4346422167461674,0.5564516129032258,0.5707070707070707,0.2808654401248124,0.773246560186541,0.5570051240560949,0.452136168609996,0.09048471508614785
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,unseen_perturbation_split,support_novelty_only,247.0,0.43377022106765284,0.07082004412334114,0.436322142062812,0.4369617784407573,0.5725806451612903,0.5808080808080809,0.259456934046485,0.7165096538498543,0.5244741100323624,0.44087647413094744,0.012567808190815351
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,unseen_perturbation_split,ptl_rf,247.0,0.43617464347788204,0.07322446653357034,0.43076010131217995,0.4361769674414054,0.5483870967741935,0.5808080808080809,0.24700613924216522,0.6881622978029348,0.510618932038835,0.4141721659193974,0.04771259838757457
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,unseen_perturbation_split,gbdt_uncalibrated,247.0,0.4385189308367504,0.07556875389243872,0.4376964453636432,0.4350832646571257,0.5967741935483871,0.5707070707070707,0.24752321235718916,0.688760455446921,0.4848975188781014,0.4035850994824066,-0.06330569509169036
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,unseen_perturbation_split,ptl_context,247.0,0.4416517200166195,0.07870154307230781,0.4449029737992415,0.43790488445430503,0.6370967741935484,0.5909090909090908,0.30194156117994814,0.8403784054309603,0.4510180690399137,0.39748304192591233,-0.12438164345075603
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,unseen_perturbation_split,ptl_full,247.0,0.4426840526062321,0.07973387566192042,0.4479903274214819,0.4376706853732373,0.6532258064516129,0.5909090909090908,0.24671786472365978,0.6865776545547326,0.4467030744336569,0.3876812886351484,-0.12671332146258643
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,unseen_perturbation_split,ptl_no_id,247.0,0.44213661771907153,0.07918644077475984,0.44710826189698455,0.4376706853732373,0.6451612903225806,0.5909090909090908,0.3351622164869242,0.9785194863950953,0.4476469795037756,0.3879485830207341,-0.1229131959596989
